Node	Link
RPL12	33
RPL4	32
RPL10A	32
RPS5	31
RPS23	31
RPLP0	30
RPS7	29
RPL15	29
RPL35A	28
RPL24	28
RPL21	28
RPL19	28
RPS10	26
RPL6	26
RPS12	25
RPL27	25
RPSAP58	22
SRPRB	21
DDOST	21
RPS17	20
MRPL22	20
MRPL15	20
TRAM1	19
SRPR	19
MRPL3	19
EIF4A3	19
EIF3H	19
EIF3D	19
SMG6	17
IMP3	15
POLR1B	10
TSFM	7
MRPL34	6
EIF3M	3
EIF3L	3
GUF1	2
VDAC3	1
SRRM2	1
MRPS31	1
KRTCAP2	1
AQR	1
ALG5	1
