"","B_Cell.Control","B_Cell.SLE","T_Cell.Control","T_Cell.SLE","P_Cell","P_SLE","P_Cell:SLE"
"7072",213.517373051189,335.981023214704,232.151772955546,319.715909071435,0.890580933363417,0.0121400198590604,0.593471145156649
"116843",67.3185371228268,38.8517523644104,58.0627893355007,42.2812535001633,0.883409540887671,0.0719293283739413,0.593473543622949
"401431",3.58447444778735,2.51497441304651,9.77946425881014,4.56085977060642,0.0612640363384539,0.166959589586755,0.593562289214444
"54946",44.6835243768724,45.6622921266256,43.015299417828,55.5123271390709,0.717757265216625,0.52846695222837,0.593606193327392
"23336",23.8501722669275,15.1572817812254,217.293546237983,206.257682426898,0.000156475249299308,0.503722734070072,0.593618584965292
"400655",1.35768739769042,1.04206437838281,2.14615543915652,1.02333597314649,0.621707428043876,0.27455037329972,0.593752603152587
"375033",2.24023818497738,5.16175436861704,1.43046066856979,5.26755605079687,0.625706720498097,0.0351390708614482,0.593911473804699
"57132",1947.95154022305,773.891727458136,1338.19402884585,623.419970474981,0.0730345443594066,0.000369333045055894,0.59392958384449
"101929531",1.30612410518913,1.05835391244012,1.98117335910468,2.41134667317074,0.129044765670922,0.985379959881229,0.593933241410296
"5817",7.98216504257395,3.40635587265125,6.36070811891822,5.89811785206465,0.82363394659425,0.525822442205343,0.593935314466709
"162632",14.4304308464766,6.15357797585753,25.7228984172994,33.7015959239138,0.292402783566609,0.780712661819811,0.593941696087178
"728378",1.29150751916132,1.68714828867224,1.97885755699685,1.92963913877971,0.317910481208013,0.65807512441362,0.593950542108502
"124801",80.2952056958854,98.0263636004625,57.7560874975043,80.1578404659448,0.0506979613807129,0.0518845993032003,0.594020340822513
"22902",146.462204591131,84.6067260179088,112.497262953563,56.6657070480381,0.0274000602687995,0.00105237193981484,0.59410929370358
"100129354",1.05437421559064,2.26041092133405,3.26175310885712,4.98852990041429,0.0134689253850654,0.0868308780396621,0.594114511291863
"414318",1.4926146974032,1.65496831388971,1.2548295179561,1.02422302870222,0.27079354787713,0.861088238737305,0.594336946703507
"5834",65.0411385771552,49.0897337204138,90.4117691701367,77.55696685113,0.00924681003504135,0.0964041848682687,0.594351875597034
"2785",2.92441000174153,4.12529780553051,2.2657796515172,2.2520667764377,0.210082306813421,0.607022083123721,0.5944001565106
"84953",49.3697917554041,7.85693890157266,41.265225045692,12.3144907854883,0.817733131281004,0.0276077993567413,0.594416796941065
"133308",47.5507428801032,97.8104798151128,33.0235204933536,55.7493403731594,0.0315911699243548,0.00815922407892271,0.5944237288126
"100131755",28.23394209789,32.3208282233274,100.685506748771,89.0131582991058,0.00119299913722198,0.980145456363317,0.594528301160568
"55841",141.390795244919,115.984024587587,68.8679933002617,48.4600502193887,0.000427421577642312,0.0823022538702523,0.594551929941018
"3736",0.933588066571195,1.31744922113897,1.25332812713973,2.35754386874731,0.12944914262478,0.0965051135275492,0.594552543892207
"29904",140.293397939638,234.730221402466,78.6239584826062,100.408410036461,0.0189860359613727,0.15788792775029,0.594562478466926
"3275",130.338021672228,82.6972927757176,488.981865008905,426.274870928978,0.000855970379466405,0.331795548862016,0.594573891101974
"256380",78.2285251442109,31.6627409862469,340.374513233939,117.861877899035,9.21692559252352e-06,0.000115047808506409,0.594606117183318
"387496",10.0355885336374,5.03740500684916,7.4077748799323,5.62869737140084,0.80335346699499,0.233698628576143,0.594679118354174
"9778",248.710894967905,195.502202584831,426.010601068719,289.792923013631,0.00728862143500628,0.043253757310819,0.594711845440458
"101060226",234.861857943452,64.2926575849087,205.339579926254,77.3091428518195,0.932828841003354,0.00423519061923307,0.594722820175357
"100129148",7.66243798425954,13.1232581799037,9.42592259037121,12.6127988922511,0.716905547688563,0.0998424573596675,0.5949029297533
"79077",15.2432759478283,31.8451828685308,8.79046125332754,21.6848959889108,0.0143591965092818,0.000599807597777888,0.594932556410226
