ID	T1_1	T1_2	T1_3	T1_4	T1_5	T2_1	T2_2	T2_3	T2_4	T2_5	T2_6	T2_7	T2_8	T2_9	T2_10	T2_11	T2_12	T2_13	T2_14
68646	3142	4588	5024	5461	3000	1639	1642	2135	2164	3166	1925	3625	4918	2171	1984	2219	2528	3969	2939
68652	4671	7171	7334	7554	6234	6888	7644	6178	7728	7384	7568	6967	11566	5965	7159	6451	8165	5908	8030
68653	2712	4934	4732	5252	3129	4285	3004	3270	3540	4074	2812	4018	3734	4261	2339	1478	2532	3725	4054
68655	2236	731	253	262	303	1068	3293	555	1246	132	5568	502	100	258	401	1288	980	3351	91
68659	1297	919	1842	1058	554	1060	846	658	1556	333	3436	1145	164	139	915	1726	1039	976	419
68662	0	2	0	0	0	0	34	21	0	20	0	3	0	4	0	1	12	2	0
68666	4	8	8	7	5	574	543	592	209	444	590	330	154	143	265	91	139	88	56
68667	544	1026	743	1537	706	314	452	348	264	317	335	254	129	189	216	172	267	218	145
68668	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
68671	996	1750	2129	1697	1444	1440	917	900	1440	1325	324	1378	1107	627	860	427	886	662	1388
68673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68675	1908	2588	2351	2770	1964	1368	3475	2383	3597	1840	2414	2416	2001	2088	1627	1928	1793	2081	1960
68678	0	1	0	2	0	7	0	2	0	0	0	2	0	0	0	0	0	21	3
68680	4	0	1	0	0	144	424	37	0	442	0	195	0	277	2	0	1	685	1897
68682	3044	3327	3357	3099	2799	3318	4387	3597	3854	3849	3779	3696	3513	3293	3381	3274	3477	3276	3620
68690	141	163	142	208	286	7	1	7	3	31	27	20	51	86	6	49	32	45	63
68691	1380	1873	2356	2543	1934	1496	2545	1868	1916	3413	1752	1897	3151	2172	1649	1364	2266	3055	1617
68692	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	3	2	0
68693	8004	11703	11710	9576	9609	12671	20330	11425	17082	14881	5108	6945	4862	4300	7239	6816	9055	6408	6657
68694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68695	263	330	375	343	394	646	217	185	607	1316	1037	485	1024	300	486	364	508	338	559
68697	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68701	0	0	0	0	0	2	0	1	0	0	1	0	0	4	0	0	0	44	0
68703	4588	5233	5003	5027	6309	5134	7880	4827	6514	4877	5317	7447	6129	6010	5938	6211	6929	9326	5896
68705	1067	2102	2176	2280	1330	2521	1586	2123	4177	2813	1068	2722	2175	2021	2141	1049	1445	1873	2798
68708	454	807	900	799	692	545	922	787	744	855	533	1334	1166	1093	763	301	590	606	811
68709	42	122	70	104	70	180	212	84	112	218	49	46	49	215	24	32	33	98	47
68713	78	360	25	209	99	29	112	48	23	44	119	56	4	38	34	32	38	63	72
68718	764	1110	1269	1225	1076	1092	1344	1089	1108	1383	1117	1249	653	1219	818	1008	1038	895	812
68720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68721	397	632	685	792	526	422	350	387	317	579	550	872	319	560	295	329	299	473	488
68723	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	2	0
68724	747	1060	920	1066	931	2103	2228	2957	1721	2530	2921	2001	2350	2221	2344	2437	2165	2148	1423
68725	16	40	85	47	30	69	123	31	113	43	149	22	154	57	13	40	20	44	113
68728	906	1220	966	1193	1257	3811	5654	3179	2564	4047	5903	4009	4511	7597	7948	3241	5295	6098	2858
68729	6633	10067	11957	9840	7047	10166	12968	11381	15547	18848	7715	8899	16522	12251	9285	5271	7779	5454	7799
68730	1380	2376	2690	2454	1913	2420	2005	2023	2350	2478	1454	2031	1610	2488	1611	1342	1485	1564	1769
68731	1003	1438	1642	1737	1371	2127	916	883	1283	778	871	475	695	38	595	263	441	594	271
68732	1401	1838	2367	2814	1758	591	1241	1783	1382	667	928	815	1006	1891	796	1160	1293	1478	835
68734	5523	8295	8550	7646	6039	6696	7651	9182	9782	10952	11196	13392	14531	11314	5385	7718	7400	11521	15828
68735	943	1698	1621	1760	947	1778	991	1606	1457	2095	849	769	1396	1079	714	600	718	1024	949
68736	439	687	669	559	394	455	291	633	416	623	416	915	571	614	442	285	432	775	664
68737	1119	1275	1564	765	949	350	900	578	562	689	622	751	348	779	319	464	356	786	684
68738	1019	870	837	385	251	128	177	430	309	155	964	443	49	116	147	314	279	854	120
68740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68742	575	854	724	845	571	542	576	556	791	816	719	527	433	372	573	421	453	455	453
68743	3387	6968	6282	5491	4291	3725	5464	5966	7913	9752	5065	6842	11284	7227	4051	5144	7982	11745	9948
68744	9476	12900	15655	14400	11254	13541	10573	10576	12990	15834	6932	12373	12348	9144	7290	6142	8410	8455	8443
68750	1549	2220	1576	2215	2640	195	1755	577	635	412	1695	1272	668	2262	494	878	975	2032	1262
68753	1	1	4	0	3	2	9	2	0	8	3	21	12	1	5	6	5	2	21
68755	466	650	627	602	389	390	461	513	578	546	554	863	509	669	468	210	286	694	436
68758	831	1128	1396	1382	1213	1435	3033	892	1435	1474	859	1448	1371	2380	1193	912	1005	817	1418
68760	1	9	8	12	5	102	164	13	4	14	2	76	4	78	8	4	9	612	246
68763	874	1166	1335	1159	961	1498	1095	1113	1697	943	569	1172	1466	1013	631	570	988	816	718
68764	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0
68767	1330	1918	2281	1986	1631	2141	1250	2010	3038	1941	1969	2059	2283	2040	1227	1186	1536	2296	1753
68768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68770	2512	3627	4928	4177	3354	5907	3258	3883	6201	5465	2731	3872	5649	3526	4627	1778	3453	3484	2579
68774	641	654	162	142	139	162	435	408	903	209	3826	947	249	490	828	1037	593	1410	266
68775	96	478	234	2156	628	30	1	3	0	4	0	5	2	4	0	1	5	12	1
68776	1111	1748	2167	1812	1150	2599	1373	1873	1773	2478	1319	1669	2005	1546	1004	923	1454	1679	1507
68777	120	258	224	315	145	73	51	50	33	29	32	31	44	76	26	28	41	60	27
68778	1283	1891	2235	2094	1721	1394	1347	1518	1284	1746	1300	1552	1593	1159	932	909	1157	1423	1117
68789	551	586	849	817	615	1240	742	717	999	542	446	552	584	613	326	139	405	544	271
68790	1	0	1	0	0	0	1	4	1	0	1	2	0	0	0	3	18	1	0
68792	553	539	24	33	15	714	410	374	726	82	1982	279	8	117	277	663	318	259	98
68794	1216	2186	1486	2278	3983	11673	16376	4774	3138	5714	2080	11050	12612	8032	236	3762	1219	2522	31870
68795	6726	9417	8032	9138	7301	7674	9240	8894	9813	7996	7945	9803	9999	8958	7948	7180	8298	9959	8907
68796	1575	2257	2085	1884	2096	1630	1891	1349	1539	1431	2903	2653	2026	2368	1914	1262	1613	2976	2240
68797	6633	8580	9031	8220	7211	398	760	198	385	122	1261	185	51	49	192	751	328	193	74
68799	841	1534	1474	1214	1297	10084	2134	5513	5462	3527	2198	4167	3612	2364	1389	2245	4417	3196	2696
68800	0	0	0	0	1	29	10	0	0	0	0	0	0	1	0	0	0	13	3
68801	3066	5684	5856	5778	4067	4611	7159	7462	7424	9962	4625	5397	11858	7304	5279	3758	4933	4610	5604
68802	15	1	1	1	2	62	64	7	1	6	1	7	4	7	3	1	0	977	33
68808	34	46	20	14	16	15	30	32	34	23	56	32	19	256	21	6	23	32	15
68810	142	211	117	95	135	128	237	193	380	128	124	107	263	571	51	118	141	310	152
68813	851	1147	1054	2253	2120	875	1591	3567	2106	1093	1205	3034	1680	3270	1485	631	723	4121	5209
68815	1199	1905	2224	2401	1518	2092	1369	2175	2086	3030	1969	1244	2751	1337	1694	1436	1768	1685	1132
68816	2084	4447	5278	3730	2530	4697	3489	3604	4031	4957	2220	2854	5200	2803	1600	1840	2343	3188	2714
68817	1192	1458	1489	1428	1330	1420	2191	1571	1676	2030	1389	1541	1567	1507	1089	1084	1046	1872	1165
68818	371	510	550	534	422	589	330	565	405	595	368	469	355	582	372	438	337	505	375
68828	22	35	4	25	8	61	194	50	53	82	98	24	6	247	48	42	36	323	97
68832	1446	2384	2619	2419	1828	4865	2223	2405	2135	2551	2138	2551	2486	4288	1472	1619	1399	2003	1418
68833	1437	2069	2421	1982	1613	1735	1640	2436	1879	3079	1700	2822	2962	2631	1898	1369	1810	2453	2201
68836	1220	1478	1638	1416	1244	1449	1209	1288	2427	1677	1266	2118	1740	1569	1288	964	1183	1421	2688
68837	4403	6380	7908	6707	5406	11663	11118	9353	12861	15132	6486	7976	14815	10136	6580	6081	8338	7305	8451
68839	1871	2730	3039	2737	2082	3195	3486	3388	2744	4445	3038	3586	3600	3038	2630	2500	2364	2593	2164
68841	88	87	114	122	110	18	41	83	53	45	46	81	44	46	20	41	31	77	37
68842	5975	12608	10474	15406	11344	13002	11864	13868	12138	16301	14736	11380	15231	10696	9300	7443	13508	11796	6623
68845	1621	2776	2988	2842	1905	1398	1914	1498	1977	2279	951	695	967	654	642	603	900	798	667
68846	115	119	176	89	166	266	365	173	301	217	526	658	585	604	659	219	535	121	935
68852	228	199	17	33	23	122	217	64	180	44	443	472	27	22	169	301	68	793	39
68854	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	204	0
68857	252	378	486	371	246	525	237	441	337	499	219	414	416	374	276	141	225	464	433
68859	60	40	60	33	44	85	91	83	59	40	302	109	16	27	37	75	40	128	173
68861	4248	4960	4659	3717	3142	2605	3029	3144	2321	6139	2603	4372	4982	6123	2201	1538	1848	7528	4998
68865	222	383	382	372	362	278	307	206	333	268	200	370	354	382	239	285	282	378	274
68867	3665	3650	4611	4157	3254	2213	2172	1474	1467	3375	1059	1646	2361	1931	1559	1324	1450	1081	1185
68870	2	19	11	7	11	8	11	8	10	7	21	6	7	2	2	2	14	27	11
