Run 28	60.9963	46.082	60.4311	55.1865	54.5247	1.5266	0.7919	0.7299	0.6369	0.1241	0.1064	0.0991	0.0927	0.0922	0.0893	0.0866	0.0849	0.0828	0.0809	0.0813
Run 29	71.1529	61.7969	50.9886	56.7522	54.339	1.029	0.1088	0.0927	0.0881	0.0875	0.0844	0.0833	0.0921	0.0857	0.0849	0.0895	0.0857	0.0837	0.0852	0.0872
Run 30	61.3525	52.3739	65.2308	56.2101	62.9534	2.0084	1.4655	0.9264	0.5201	0.6217	0.2901	0.1071	0.1001	0.0977	0.1088	0.096	0.0976	0.0933	0.0914	0.0907
Run 31	57.2258	68.2332	61.7711	65.145	52.2307	1.0618	0.6967	1.5305	1.472	1.3766	1.2865	1.1914	1.1337	1.0678	1.0111	0.9401	0.8574	0.8	0.7575	0.7057
Run 32	60.7315	52.3761	58.1419	56.0558	54.227	2.2071	0.9952	2.1811	1.8436	1.5331	0.8633	0.6929	0.6079	0.2361	0.2187	0.2088	0.1972	0.1918	0.1859	0.1753
Run 33	69.8153	60.9608	63.316	63.3652	55.7451	1.3024	0.8825	0.6691	0.3514	0.7549	0.7021	0.3496	1.1364	1.1039	1.0537	1.0061	0.9592	0.929	0.8852	0.8318
Run 34	61.1759	63.7441	56.8476	46.8954	62.8032	2.3127	1.0325	0.2992	0.1452	0.1378	0.1364	0.1411	0.1382	0.1352	0.1383	0.1338	0.1269	0.1248	0.117	0.1137
Run 35	68.9681	57.7019	71.31	57.3022	62.7758	1.6476	1.0443	0.6562	0.5115	0.786	0.671	0.2086	0.1684	0.1701	0.1679	0.1493	0.1333	0.1298	0.1286	0.1225
Run 36	64.4044	55.3078	59.9173	59.3088	68.5211	1.4693	1.0291	0.5403	0.1572	0.1094	0.102	0.0976	0.0958	0.0956	0.0952	0.095	0.0949	0.0949	0.0979	0.0972
Run 37	72.5734	62.17	54.5886	44.4079	50.2041	1.3424	0.1636	0.1147	0.1119	0.1075	0.1048	0.1007	0.0984	0.0995	0.0978	0.0925	0.0925	0.0916	0.1022	0.0944
Run 38	76.2365	81.9519	61.2365	46.2834	58.0389	1.2656	0.7449	1.1287	1.0399	0.7375	0.6962	0.6351	0.5775	0.1474	0.1249	0.1213	0.1174	0.1062	0.1037	0.1027
Run 39	55.7951	68.274	54.8591	57.2363	49.4667	2.13	0.7934	0.6551	0.1324	0.122	0.1157	0.115	0.1192	0.1177	0.1099	0.1169	0.1121	0.1117	0.1111	0.1025
Run 40	63.8305	69.3545	54.9109	62.6056	49.8399	1.5718	1.0467	1.3529	1.0643	0.7418	0.7049	0.6401	0.5364	0.1507	0.144	0.1419	0.1422	0.1378	0.136	0.1341
Run 41	71.1531	57.7873	55.6754	55.1696	57.6582	0.967	0.4992	0.3953	0.4934	0.3862	0.1068	0.1078	0.1061	0.1058	0.1005	0.1035	0.1066	0.1086	0.1057	0.1017
Run 42	64.8894	67.5311	44.6131	54.8623	75.1475	1.689	1.0314	0.772	0.6654	0.415	0.2948	0.148	0.1195	0.1153	0.1191	0.1167	0.1141	0.113	0.1107	0.108
Run 43	56.591	54.7354	46.8287	71.4277	49.0495	1.0572	0.4008	0.146	0.1155	0.1166	0.115	0.1149	0.118	0.2088	0.1194	0.1344	0.6873	0.6028	0.4005	0.323
