"","0","2","6","12","13","14","15","16","17","18","20","22","23","24","26","28","30","32","34","36","37","38","39","40","41","42","43","44","46","48","49","50","51","52","53","54","56","58","60","61","66","67","68","70","72","73","74","76","77","83","86","88","90","92","94","96","98","100","102","104","106","108","110","114","120","130"
"NA21130",28,1,42,0,0,0,0,12,0,3,0,2,0,0,1,2,1,1,0,2,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,2,41,10,0,13,0,3,4,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2,1,520,0
"NA21133",30,3,41,1,0,1,3,14,0,2,4,4,0,0,5,1,3,2,3,2,2,0,1,3,0,1,0,0,5,0,0,2,0,0,1,0,1,35,9,0,14,3,2,2,0,4,0,3,0,0,0,1,0,1,1,0,0,0,0,0,1,2,1,13,583,7
"NA21135",25,0,53,0,1,0,2,24,0,3,1,8,1,0,3,2,4,1,3,4,1,1,0,4,0,3,1,0,4,2,0,3,0,0,1,2,2,36,12,0,17,3,5,3,0,2,0,2,1,0,0,0,0,4,0,1,0,0,0,2,0,2,0,5,636,4
"NA21141",10,2,15,0,0,0,0,3,0,3,2,3,0,2,1,0,2,0,3,1,1,1,0,2,0,2,0,1,0,0,0,1,0,0,0,2,1,26,7,0,10,0,1,2,0,4,1,2,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,7,488,1
"NA21142",6,0,9,0,0,0,0,1,1,0,1,0,0,3,1,0,0,0,0,2,2,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,32,11,1,12,0,0,4,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,11,463,5
"NA21143",16,1,16,0,0,1,2,9,0,3,1,1,0,2,0,0,1,2,3,1,3,2,0,2,1,0,0,0,3,1,1,0,0,1,0,0,0,34,12,0,17,0,2,4,0,5,0,2,0,0,0,0,1,0,0,1,1,2,0,0,1,2,1,9,594,6
"NA21144",13,0,12,0,1,0,0,9,1,3,0,2,0,2,1,1,1,2,1,2,0,0,0,1,0,0,0,1,5,1,0,4,0,0,0,0,0,21,5,0,17,1,2,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,4,464,3
