"","M","S","D","I"
"NA21130",127022,14290,141,88
"NA21133",151864,11471,287,65
"NA21135",165453,13262,344,85
"NA21141",114454,8064,88,82
"NA21142",106494,8632,87,74
"NA21143",142131,11155,179,114
"NA21144",110110,7443,124,47
