"","M","S","D","I"
"NA21130",89.7421948410708,10.0960145823472,0.0996177785941883,0.0621727979878622
"NA21133",92.7770684293805,7.00788700385492,0.175334632560924,0.0397099342036936
"NA21135",92.3575447684544,7.4029830750681,0.192024293305944,0.0474478631715268
"NA21141",93.2886671883151,6.57276995305164,0.0717266562336985,0.0668362023995827
"NA21142",92.3729475135965,7.48740100791937,0.0754638424106794,0.0641876360734515
"NA21143",92.5458558787334,7.26336282955352,0.116552393230845,0.0742288984822144
"NA21144",93.532329856274,6.32241514049811,0.105331113451803,0.0399238897760864
