"","N_Before","N_After","Percent","Sigma","Outlier"
"NA21130",707,707,77.09,3.73,"Yes"
"NA21133",817,817,80.78,-0.24,"No"
"NA21135",894,894,78.64,0.39,"No"
"NA21141",613,613,85.97,-0.4,"No"
"NA21142",576,576,86.28,-0.11,"No"
"NA21143",767,767,84.62,-1.75,"No"
"NA21144",588,588,86.05,-0.17,"No"
