"","b_cell.Control","b_cell.SLE","t_cell.Control","t_cell.SLE","P_Cell","P_SLE","P_Cell:SLE"
"641455",0.973831832138076,2.08533878741171,1.01082316330001,0.974303410253642,3.75995179358685e-06,3.72211481308921e-06,1.78415186168745e-06
"100652791",0.973831832138076,2.08533878741171,1.01082316330001,0.974303410253642,3.75995179358685e-06,3.72211481308921e-06,1.78415186168745e-06
"101929313",0.973831832138076,2.08533878741171,1.01082316330001,0.974303410253642,3.75995179358685e-06,3.72211481308921e-06,1.78415186168745e-06
"10049",749.351815974792,228.476960115537,484.006959576563,379.279707216534,0.424076453361794,1.27319487712713e-07,3.16055014094277e-06
"6124",3315.5070114072,4891.10332268842,1587.43890318477,6374.46937223433,0.000992813543027876,5.99778111116127e-08,5.05132681212783e-06
"2028",3.08339866605194,1.04619013903779,0.996680837173726,1.02700152746976,4.57856921316829e-06,8.87686167997921e-06,5.86019470378922e-06
"26512",1047.10719897923,912.676000888317,3088.6028025817,579.563881409514,0.00386679711669265,2.80374945467453e-06,9.67611797250972e-06
"283624",1027.93164965445,576.604638192961,2394.47279663479,458.219329898676,0.000532650923272501,3.82438086454601e-08,1.05253148182958e-05
"120227",29.47399680878,136.526570635197,143.756936080813,84.8562280291991,0.000812428382575569,0.00149221676175191,1.08312364844044e-05
"220988",1416.88364224246,1720.41882466962,2193.67603906206,1379.44547392022,0.0143717176318607,0.00464510733116655,1.26856813795034e-05
"408263",13.4476110842013,47.8640576807574,94.6696149510306,49.7061466887462,1.00248264019614e-05,0.0152586712291602,1.33615033931559e-05
"55074",150.134327001119,52.7457760533681,80.6567047539498,69.6950659345294,0.00741308866041258,1.6894212379515e-06,1.40259781720197e-05
"6128",3196.63952443339,4379.43123513444,1569.64025242983,5277.37703551441,0.000647458046456624,2.68749643173722e-07,1.53205533044706e-05
"27069",240.844389221831,239.707359061628,120.933078418618,277.345165507806,0.000323528560126224,1.68437326616783e-05,1.54854544408155e-05
"10138",142.604710755644,214.48780759649,456.39338644849,194.490076935079,5.48804114775963e-05,0.0119629136401199,1.61078731574684e-05
"11185",0.973831832138076,1.04266939370585,1.01082316330001,1.94860682050728,7.3001235003554e-06,3.72211481308927e-06,1.77115760269947e-05
"101929047",1.94766366427615,1.04266939370585,1.01082316330001,0.974303410253642,3.75995179358696e-06,7.38046652366421e-06,1.77115760269948e-05
"102723675",1.94766366427615,1.04266939370585,1.01082316330001,0.974303410253642,3.75995179358696e-06,7.38046652366421e-06,1.77115760269948e-05
"9908",1996.63602300355,1841.14415813166,1364.98668352889,3570.30113183691,0.0432803988455989,6.99561484849644e-05,2.0635576624478e-05
"1108",1350.55828231264,1256.23543664931,3540.41768211577,693.489378046058,0.0770329878615722,1.40394421269497e-05,2.69638471181293e-05
"9559",255.871449095155,197.066462529866,103.243970674628,282.484064322659,0.00685259864123895,0.00116576039152997,3.16227612289649e-05
"30000",76.1027111145759,83.5654115275835,137.839213717522,74.1951258473074,0.000558214172241505,0.00028517919610053,3.38019358359617e-05
"200185",39.0588122651346,34.053729438839,8.57248731188181,51.5584146868886,0.00167422035091229,0.000115708090527858,3.89727180418347e-05
"23162",130.704239543484,479.939755939249,205.793393675946,140.771634388691,0.00627929774168363,0.00235217996290219,4.40681295704915e-05
"64061",702.944389532303,1016.62836551986,3070.42203712615,1423.05668293087,1.48938980476143e-06,0.0238946624552747,4.73485067332954e-05
"101060024",0.926943807708276,1.04780978630155,3.54530163993626,1.03295591875695,5.85652219007885e-05,0.000203429562777813,5.02923537730339e-05
"4839",126.109234493224,151.353843790819,623.554046607263,132.051299900615,0.000196265260329252,0.000304940027733515,5.93065659170986e-05
"64092",2193.92219757519,578.255135110291,823.40043131761,1223.62933687831,0.3465338610607,0.00359377091124144,6.88588398469566e-05
"3476",217.052826352991,143.461840907873,98.3207404556019,220.350150440548,0.0563556388097598,0.0422011507007495,6.90141253106718e-05
"64397",809.534638523914,363.861770613678,603.784427461284,585.570783562786,0.112834276064495,3.998708664424e-05,6.9221008493388e-05
"2631",83.9470519844293,89.6533039288384,40.5256874290107,112.850273128694,0.00460945465150063,2.78908952990836e-05,7.03455628251265e-05
"286135",1.10465915945646,1.07011626828955,6.51975974364324,1.07956792161716,6.58326404822404e-05,5.49123801849409e-05,7.06333385998773e-05
"171023",454.752181043534,675.45156342998,1286.95713433332,484.997133109431,0.00491084210860384,0.0136640314499473,7.34900828865711e-05
"6560",18.8931374794886,43.8920221152124,20.2947341753058,9.07507935261345,0.00015236980756995,0.869436324117088,8.07379441668368e-05
"641700",0.957167653948965,1.04962372722457,2.62134152739095,0.995127910828354,0.000175988681514858,0.000313361886571863,8.41404485095626e-05
"101928445",13.8797726291457,20.8779602866436,97.0184963949038,6.05359948334781,0.147213062315662,0.000665830439652854,8.98206144241138e-05
"9406",160.731997451466,368.379500306928,397.256755918737,412.401301986785,1.48855474720912e-05,4.79534308946856e-05,9.11227740360985e-05
"4992",0.966815859636146,1.04922356917917,1.00553910413626,2.24448296646605,4.62444214460081e-05,2.22096867788962e-05,9.6425240196419e-05
"64780",171.415650553221,279.802495330952,180.587710324686,130.987166525324,0.000251445348491573,0.175043451006243,9.73432820207756e-05
"101928451",303.777754422598,435.112503533402,675.366832401735,347.351155609372,0.00438313819424641,0.0698810329700159,0.000111669607449566
"286006",82.2638114094276,22.6956584357543,339.967340935458,9.73230200820061,0.116720955852074,4.10581965204209e-07,0.000116918315844979
"388799",4.74005612058142,15.0672784921482,18.7256941628292,6.82610149770228,0.100761335397901,0.651288248639004,0.000124517155787225
"55341",108.673144221465,249.941287392211,225.48128804584,199.659330636696,0.00655148955266863,0.000896746860047528,0.000126601111754768
"4074",268.726630669736,111.545639882631,120.855480717978,134.127064842683,0.00261465229874307,0.000629436972509413,0.000127130910802454
"440",83.2247367058797,101.584953557124,250.272575569015,96.8270438223778,0.000233115797679189,0.00203486874200464,0.000128031903214086
"51755",912.909014227171,959.9426021153,1296.89787050074,901.5213292569,0.00139137275673653,0.000826624303395603,0.000129470178198748
"23524",5886.73303166838,7201.64219579926,11903.2408326575,5987.84426957737,0.0039357148397036,0.00570415944940327,0.000131443965990254
"10767",258.474893120634,409.335864202132,721.228142154818,578.169468494685,7.39094977793048e-07,0.0432278647210077,0.000131703838977609
"5683",159.733144252294,139.750597464286,94.533398945661,194.035424418364,0.156006194608418,0.00160577097232408,0.000137842306680721
"80726",304.059340732825,288.697040362529,1630.17063921152,60.4139805922563,0.816661586561904,0.000116062324801397,0.000144442245383439
"6402",1107.37356203121,239.329607847274,494.607686473436,873.487050847577,0.155784128604215,0.0149282344954307,0.000147246332298166
"5201",76.7704912476339,100.139933671133,34.1359078788348,124.852950447298,0.00492916559945145,7.43825965703209e-06,0.000150195007063557
"55904",3816.9726844514,4564.0352276757,5673.07352271073,3412.68743233351,0.334172294586836,0.012472176250813,0.000154668386035561
