id	cluster	neighbor	score	ts_1	ts_2
WT1_1_D4	1	2	0.756859505478365	13.4501685984002	60.0302747776703
WT1_2_D4	1	2	0.759583995030221	11.787521878915	57.3554229283239
WT2_1_D4	1	2	0.868629748424014	-8.74155436379297	61.2451969406178
WT2_2_D4	1	3	0.871016984101169	-10.4686824457429	64.4188346804736
WT3_1_D4	1	2	0.791945686092368	-1.77915365820656	50.5462236858438
WT3_2_D4	1	2	0.75956557140316	-2.64320341391498	47.459052500257
WT4_1_D4	1	3	0.835359396627791	-12.0420152576218	56.6191913884539
WT4_2_D4	1	3	0.819975137407977	-15.1542903404364	57.6910113131766
WT1_1_D8	2	1	0.607465127329661	74.9653310100997	-16.1198727774294
WT1_2_D8	2	1	0.604707245818546	77.1119937167853	-18.3971007184978
WT2_1_D8	2	1	0.685836000158374	53.6467501045598	-15.1751280111043
WT2_2_D8	2	1	0.703248641939002	51.4328046358819	-17.9704896535435
WT3_1_D8	2	1	0.715091074556142	51.7595144548732	-33.8035449348523
WT3_2_D8	2	1	0.720050557991681	48.6557640004823	-34.616092805468
WT4_1_D8	2	1	0.671142197761052	58.3377660871699	-15.2153678222627
WT4_2_D8	2	1	0.716694717893748	51.5336064952731	-23.5896283344386
WT1_1_D12	2	1	0.547198746136904	82.5318389714491	-10.12340851948
WT1_2_D12	2	1	0.547005856246406	84.8175821984193	-12.4590674141962
WT2_1_D12	2	3	0.449251405124635	3.69865348367268	-38.8213163584465
WT2_2_D12	2	3	0.442176071981828	4.16310887443598	-42.0475864817259
WT3_1_D12	2	3	0.700765097519854	44.7089363917105	-42.1842549305741
WT3_2_D12	2	3	0.701213624160222	41.493688148215	-41.2640890674043
WT4_1_D12	2	3	0.396625758490662	0.0937391858511075	-36.0292840613213
WT4_2_D12	2	3	0.361632753012107	0.0731571194767702	-45.0226008362543
WT1_1_D24	3	2	0.681204899753685	-51.5355257652601	-38.8293904678292
WT1_2_D24	3	2	0.67822123526466	-53.1393923206553	-41.5606051160763
WT2_1_D24	3	2	0.832493673562668	-71.6789475006486	-23.7964626149157
WT2_2_D24	3	2	0.742008673345256	-57.2913619491503	-36.5576479661331
WT3_1_D24	3	2	0.804563930422177	-68.2084009095593	-32.3680697960729
WT3_2_D24	3	2	0.793067577733246	-64.9413246742992	-33.5880681280408
WT4_1_D24	3	1	0.814867717445581	-75.0283045037492	-11.1273342418512
WT4_2_D24	3	2	0.824908317667128	-70.9643594600322	-27.2552806711625
CDL1_1_D4	1	3	0.842272412099056	-11.3845100835307	76.2312902000952
CDL1_2_D4	1	3	0.855161874878514	-11.9111877458659	72.3355081384643
CDL2_1_D4	1	2	0.869382026041006	-3.89415431023027	71.6773393421653
CDL2_2_D4	1	2	0.872646072027798	-2.22576727348532	68.843647062002
CDL3_1_D4	1	2	0.832514111820526	-7.35897522919096	79.4702893488713
CDL3_2_D4	1	2	0.855293310387357	1.79209492881575	69.2715156336427
CDL1_1_D8	2	1	0.654711980494971	52.0199741739075	-10.0129973496025
CDL1_2_D8	2	1	0.716739167052528	46.4583051969879	-20.2185792229024
CDL2_1_D8	2	1	0.672812853498856	33.8280287603781	-13.3769289457396
CDL2_2_D8	2	1	0.689782154140878	37.0713653761012	-15.0576021429811
CDL3_1_D8	2	1	0.678979280211292	24.4644630501346	-19.3577461618417
CDL3_2_D8	2	1	0.657920845487204	23.1075922640377	-16.3212175679899
CDL1_1_D12	2	1	0.522763887782764	8.64697453901755	-11.007511002975
CDL1_2_D12	2	1	0.559374237010308	13.0552350300914	-11.230882224517
CDL2_1_D12	2	3	0.470482999741948	4.95405994276101	-9.91682506261231
CDL2_2_D12	2	3	0.490141065655331	4.64197147080338	-17.2200161454209
CDL3_1_D12	2	3	0.566866782672124	9.66541615277	-23.4792234702821
CDL3_2_D12	2	3	0.55486955786585	8.70749572488961	-20.0593341320747
CDL1_1_D24	3	1	0.696408233275705	-74.1025300356608	5.32618763867324
CDL1_2_D24	3	1	0.747695576844276	-73.1684481689475	0.660301908667819
CDL2_1_D24	3	1	0.786936737260003	-70.2763973972661	-4.07025826132435
CDL2_2_D24	3	1	0.76697950091835	-67.8875971226437	-1.92830674288367
CDL3_1_D24	3	1	0.828530190060868	-73.7157761540161	-15.3124189444342
CDL3_2_D24	3	1	0.75066819785029	-63.1330418824596	-2.6897483807363
