"","Breast_GSM133995","Breast_GSM134000","Breast_GSM134005","Breast_GSM134010","Breast_GSM134015"
"2719_GPC3",2.91,2.63,2.68,2.79,2.95
"2730_GCLM",2.72,5.35,3.75,3.21,2.24
"2731_GLDC",3.64,3.44,3.45,4.85,3.98
"2739_GLO1",8.93,10.24,9.52,9.49,9.21
"2744_GLS",3.77,5.11,5.87,4.21,3.44
"2745_GLRX",4.08,5.19,5.26,3.3,4
"2764_GMFB",5.66,6.93,5.46,6.96,5.94
"2766_GMPR",6.62,7.17,6.48,6.41,6.45
"2767_GNA11",7.42,8.8,8.65,7.18,7.6
"2768_GNA12",6.43,8.19,8.76,7.39,6.39
"2769_GNA15",4.73,6.85,3.96,4.45,4.07
"2771_GNAI2",9.32,10.79,10.68,10.15,9.27
"2786_GNG4",5.71,5.5,6.04,7.3,5.58
"2791_GNG11",3.98,7.36,6.61,5.95,8.17
"2805_GOT1",5.89,7.65,6.67,6.49,7.11
"2806_GOT2",7.07,7.48,6.56,7.47,7.26
"2810_SFN",6.49,6.99,6.65,4.12,6.4
"2817_GPC1",6.08,6.96,7.5,6.52,6.31
"2821_GPI",7.95,8.65,7.05,9.25,7.03
"2872_MKNK2",6.39,6.86,7.32,5.97,6.67
"2876_GPX1",7.45,10.94,10.52,9.42,7.35
"2877_GPX2",8.9,7.38,7.38,7.17,7.37
"2882_GPX7",3.98,3.59,5.12,3.79,3.78
"2888_GRB14",3.47,3.23,3.52,3.29,3.59
"2907_GRINA",10.42,10,10.76,10.49,11.04
"2919_CXCL1",3.35,4.16,3.35,8.26,3.69
"2920_CXCL2",2.73,3.73,2.72,4.61,2.73
"2921_CXCL3",4.03,4.23,3.82,4.06,3.84
"2923_PDIA3",7.91,8.27,9.13,8.58,9.02
"2926_GRSF1",4.66,6.21,5.27,5.73,5.09
"2934_GSN",5.41,5.7,5.78,6.02,8.27
"2936_GSR",3.66,3.67,3.68,3.66,3.56
"2941_GSTA4",5.24,6.78,6.43,5.64,4.65
"2950_GSTP1",7.24,10.61,10.57,10.15,7.83
"2956_MSH6",4.83,6.02,4.82,5.11,5.39
"2963_GTF2F2",4.1,4.63,4.26,4.41,4.05
"2971_GTF3A",8.13,7.45,7.12,7.18,6.67
"2992_GYG1",6.62,6.37,7.45,7.24,7.45
"2994_GYPB",5.22,4.15,4.17,4.09,4.34
"2995_GYPC",6.31,6.15,7.39,6.82,6.27
"3002_GZMB",2.95,2.54,2.64,2.94,2.69
"3005_H1F0",6.73,5.98,6.89,5.33,6.04
"3006_HIST1H1C",4.23,6.5,4.31,3.54,5.28
"3012_HIST1H2AE",6.12,3.96,4.15,4.34,6.07
"3014_H2AFX",8.38,8.68,7.74,6.92,8.07
"3017_HIST1H2BD",5.92,5.48,4.43,4.22,5.53
"3032_HADHB",6.7,6.57,6.78,5.99,6.73
"3033_HADH",5.44,5.56,5.32,4.99,5.73
"3035_HARS",6.43,6.26,6.3,6.56,6.27
"3037_HAS2",3.43,4.52,5.33,3.58,3.28
"3038_HAS3",6.74,6.74,6.65,8,7.03
"3044_HBBP1",3.94,3.28,3.62,3.68,3.53
"3045_HBD",4.25,3.39,3.29,3.81,3.86
"3046_HBE1",4.83,4.63,4.72,4.8,4.77
"3050_HBZ",4.68,3.3,3.57,2.97,3.6
"3059_HCLS1",5.11,4.92,4.92,5.17,5.13
"3065_HDAC1",8.43,7.82,8.19,8.07,8.31
"3070_HELLS",2.98,4.07,3.25,3.74,3.69
"3074_HEXB",6.67,8.73,8.25,9.46,8.12
"3075_CFH",4.92,3.96,6.71,4.32,4.14
"3081_HGD",3.71,3.38,3.74,3.64,3.52
"3084_NRG1",4.58,5.86,5.08,5.8,4.31
"3087_HHEX",3.17,3.55,3.02,3.54,3.15
"3091_HIF1A",7.2,8.72,8.73,8.18,7.38
"3097_HIVEP2",4.34,5.33,5.33,5.15,4.13
"3099_HK2",6.3,6.33,6.21,6.88,5.94
"3105_HLA-A",7.04,11.63,10.32,7.81,7.58
"3106_HLA-B",8.41,11.91,10.5,9.15,10.95
"3108_HLA-DMA",6.06,6.29,5.41,5.35,7.3
"3110_MNX1",5.12,4.19,4.08,4.4,4.6
"3113_HLA-DPA1",6.49,6.38,6.26,6.28,6.25
"3119_HLA-DQB1",4.31,3.67,3.77,3.82,4.1
"3122_HLA-DRA",5.13,5.84,5.33,5.51,5.35
"3123_HLA-DRB1",6.46,5.83,5.82,5.92,6.57
"3133_HLA-E",5.86,8.39,6.18,7.18,5.84
"3137_HLA-J",5.81,8.78,7.38,6.51,7.69
"3145_HMBS",7.67,7.51,6.81,6.42,7.33
"3148_HMGB2",8.71,8.67,8.13,7.66,7.68
"3149_HMGB3",5.6,4.26,3.95,5.05,5.02
"3159_HMGA1",9.94,11.99,9.63,9.89,8.59
"3162_HMOX1",5.44,5.29,6.16,6.66,5.2
"3164_NR4A1",5.03,4.58,4.53,4.85,5.24
"3169_FOXA1",6.97,2.43,2.89,2.67,7.49
"3174_HNF4G",2.71,2.75,2.57,2.89,3.46
"3177_SLC29A2",6.65,6.1,5.26,5.29,6.65
"3178_HNRNPA1",7.63,8.11,7.75,7.58,8.13
"3181_HNRNPA2B1",7.05,7.17,6.86,6.95,7.4
"3191_HNRNPL",7.51,7.62,7.72,7.69,7.39
"3200_HOXA3",5.36,5.47,6.75,5.62,6.29
"3202_HOXA5",3.75,3.19,4.25,3.58,3.55
"3204_HOXA7",4.87,4.83,5.44,4.89,4.71
"3206_HOXA10",2.67,3.58,5.59,4.73,2.42
"3212_HOXB2",4.91,4.32,4.35,5.85,6.4
"3213_HOXB3",3.1,2.86,2.95,4.33,3.2
"3215_HOXB5",4.75,4.63,4.45,5.66,4.72
"3217_HOXB7",7.01,6.12,6.13,7.32,6.39
"3219_HOXB9",5.47,6.87,5.92,6.02,6.14
"3221_HOXC4",4.15,3.35,4.43,3.94,5.31
"3226_HOXC10",5.46,4.06,5.24,5.82,6.14
"3236_HOXD10",3.14,3.11,2.74,3.13,2.86
"3241_HPCAL1",9.3,10.77,9.58,9.62,8.95
"3251_HPRT1",7.13,7.52,6.34,6.64,5.12
"3265_HRAS",7.59,8.44,7.75,6.94,7.78
"3280_HES1",6.64,5.19,6.72,5.72,6.28
"3281_HSBP1",6.88,5.83,7.32,5.83,7.13
"3294_HSD17B2",5.24,4.47,4.45,4.53,4.78
"3301_DNAJA1",8.03,8.7,8.44,9.57,7.63
"3304_HSPA1B",6.95,7.68,7.5,7.29,5.4
"3306_HSPA2",4.14,3.38,3.82,4.47,3.81
"3309_HSPA5",8.07,9.01,9.22,9.43,8.95
"3315_HSPB1",13.2,12.51,13.1,12.42,12.62
"3321_IGSF3",5.66,3.14,4.52,3.67,6.61
"3339_HSPG2",5.05,3.7,3.96,2.96,5.06
"3344_FOXN2",4.51,4.92,4.16,3.75,4.14
"3347_HTN3",2.16,2.63,2.44,2.41,2.17
"3383_ICAM1",4.94,4.84,4.65,4.81,4.49
"3384_ICAM2",5.05,5.3,4.5,4.58,4.64
"3385_ICAM3",6.97,5.96,6.34,6.03,6.99
"3396_ICT1",6.3,6.59,5.83,5.55,7.16
"3397_ID1",6.71,6.69,6.04,7.59,7.26
"3398_ID2",4.72,3.71,5.07,5.54,4.05
"3399_ID3",8.71,8.22,10.41,10.52,9.02
"3418_IDH2",8.49,6.26,7.86,6.42,8.83
"3419_IDH3A",6.95,7.28,6.08,6.86,7.05
"3420_IDH3B",7.69,8.12,7.49,7.93,8.44
"3422_IDI1",9.15,8.89,8.96,9.55,9.55
"3426_CFI",3.77,3.15,2.97,3.15,3.26
"3428_IFI16",3.35,5.86,5.6,5.74,2.75
"3429_IFI27",5.9,7.3,5.22,8.15,5.44
"3430_IFI35",5.31,6.01,5.43,6.15,5.95
"3431_SP110",5.18,4.32,4.26,4.98,4.69
"3434_IFIT1",4.08,5.29,3.84,6.94,3.95
"3437_IFIT3",3.42,5.35,3.44,5.56,3.39
"3459_IFNGR1",3.23,4.06,4.99,4.87,3.55
"3460_IFNGR2",6.52,8.33,8.37,8.09,7.7
"3476_IGBP1",4.92,6.17,5.16,6.13,5.13
"3485_IGFBP2",7.23,4.24,4.22,4.51,8.55
"3486_IGFBP3",5.67,6.54,9.71,8.32,5.82
"3487_IGFBP4",7.96,10.75,8.89,7.38,10.11
"3488_IGFBP5",5.39,3.91,7.76,4,7.85
"3489_IGFBP6",4.88,6.39,6.86,5.29,5.29
"3490_IGFBP7",4.97,9.76,10.47,6.7,4.77
"3491_CYR61",3.8,10.05,9.18,9.06,4.97
"3512_JCHAIN",3.08,2.79,2.83,2.72,2.82
"3514_IGKC",3.89,3.33,3.28,3.1,3.67
"3543_IGLL1",3.83,2.24,2.45,2.58,2.62
"3553_IL1B",5.28,5.12,5.95,5.13,5.17
"3554_IL1R1",2.98,3.7,4.56,4.72,3.77
"3560_IL2RB",4.34,3.96,3.97,4.04,4.06
"3561_IL2RG",6.95,6.38,6.4,6.34,6.61
"3566_IL4R",4.76,4.96,5.77,5.06,5.11
"3569_IL6",3.56,4.56,7.32,4.89,3.06
"3570_IL6R",2.91,2.55,2.62,2.83,2.98
"3575_IL7R",3.34,3.77,3.63,4.49,3.25
"3576_CXCL8",3.48,4.4,4.76,4.69,3.54
"3589_IL11",3.3,3.52,4.17,2.96,2.94
"3597_IL13RA1",4.61,5.77,5.81,5.54,5.59
"3598_IL13RA2",3.37,3.39,3.08,3.84,3.41
"3606_IL18",2.94,2.95,2.52,2.69,3.43
"3611_ILK",6.86,8.53,8.62,7.11,7.46
"3613_IMPA2",6.38,5.64,5.32,5.8,5.91
"3614_IMPDH1",9.11,9.09,9.19,7.81,8.01
"3624_INHBA",3.53,3.43,6.52,3.54,3.23
"3625_INHBB",4.8,4.58,7.79,4.7,8.09
"3638_INSIG1",5.49,6.01,6.96,6.8,4.92
"3654_IRAK1",7.9,9.03,7.71,9.24,7.21
"3655_ITGA6",4.9,5.9,4.39,5.25,4.87
"3656_IRAK2",2.91,4.05,3.89,3.73,3.17
"3669_ISG20",5.88,5.5,5.08,6.03,5.39
"3670_ISL1",3.99,3.73,3.92,3.96,4.02
"3675_ITGA3",5.83,8.97,6.31,7.28,6.21
"3678_ITGA5",7.05,7.33,9.89,7.49,6.94
"3679_ITGA7",6.51,5.56,5.79,5.87,6.06
"3690_ITGB3",4.37,4.44,4.67,4.63,4.33
"3692_EIF6",9.52,11.08,9.82,10.48,9.95
"3693_ITGB5",7.27,7.89,8.66,6.67,7.57
"3694_ITGB6",3.02,2.97,3.11,3.17,3.18
"3695_ITGB7",5.43,5.31,5.21,5.26,5.51
"3705_ITPK1",9.91,9.17,8.23,9,9.59
"3710_ITPR3",6.79,8.3,6.45,5.06,6.3
"3716_JAK1",5.37,6.18,6.64,7.06,7.48
"3720_JARID2",6.85,7.72,7.34,7,6.48
"3726_JUNB",5.72,5.27,5.91,6.07,5.37
"3728_JUP",9.03,6.49,6.27,6.91,10.21
"3732_CD82",6.96,8.85,7.25,7.22,8.38
"3757_KCNH2",5.39,4.78,4.85,4.79,4.85
"3775_KCNK1",4,2.78,3.17,3.46,3.59
"3778_KCNMA1",6.52,6.15,6.86,6.84,6.87
"3783_KCNN4",5.35,5.56,5.08,4.78,4.9
"3790_KCNS3",3.04,2.46,3.12,2.35,3.22
"3799_KIF5B",8.6,9.5,9.47,9.71,8.11
"3800_KIF5C",3.14,3.18,3.18,5.16,3.32
"3805_KIR2DL4",5.36,4.15,4.77,4.35,4.62
"3812_KIR3DL2",3.85,3.24,3.44,4.01,3.39
"3814_KISS1",4.93,8.12,4.1,4.31,4.3
"3816_KLK1",4.51,3.65,3.54,3.84,3.85
"3832_KIF11",6.39,7.59,6.85,6.99,6.84
"3836_KPNA1",5.26,5.77,6.31,6.04,5.18
"3839_KPNA3",4.65,5.7,5.83,6.15,4.58
"3843_IPO5",4.66,7.03,7.2,7.61,5.19
"3852_KRT5",4.39,3.8,3.81,3.99,3.91
"3853_KRT6A",3.83,3.72,3.85,3.8,3.87
"3855_KRT7",5.03,7.17,5.1,8.56,6.71
"3858_KRT10",8.33,8.97,8.51,7.82,9.44
"3861_KRT14",5.96,4.45,10.45,5.26,4.99
"3866_KRT15",4.15,3.96,4.1,4.28,5.44
"3880_KRT19",10.63,7.9,3.75,4.11,11.99
"3885_KRT34",3.92,3.66,3.73,3.18,3.33
"3887_KRT81",6.68,7.06,6.41,6.86,6.3
"3897_L1CAM",6.69,8.14,7.39,5.14,7.95
"3898_LAD1",7.73,5.86,5.97,6.39,6.72
"3909_LAMA3",4.3,4.55,4.44,4.33,4.44
"3910_LAMA4",2.83,2.68,2.74,3.12,2.68
"3912_LAMB1",4.28,5.84,6.6,5.89,4.68
"3913_LAMB2",6.25,7,7.91,6.87,7.72
"3914_LAMB3",5.53,7.57,4.76,5.03,5.01
"3915_LAMC1",4.7,6.22,8.8,7.62,5.64
"3916_LAMP1",6.64,7.17,7.16,8.49,7.51
"3920_LAMP2",3.75,5.63,3.97,5.07,3.41
"3925_STMN1",9.14,10.35,10.02,10.47,8.96
"3927_LASP1",6.93,9.73,9.07,8.95,9.44
"3932_LCK",5.09,4.56,4.49,4.64,4.75
"3934_LCN2",3.46,3.55,3.16,3.52,3.53
"3936_LCP1",5.04,3.72,4.51,3.62,3.85
"3937_LCP2",3.74,2.71,2.9,2.88,2.98
"3939_LDHA",9.38,10.55,10.67,10.33,10.06
"3945_LDHB",3.24,10.39,10.46,10.38,5.78
"3949_LDLR",6.52,8.28,6.76,7.36,6.34
"3955_LFNG",6.1,6.42,6.1,6.02,6.4
"3956_LGALS1",8.86,11.49,11.73,11.84,10.17
"3958_LGALS3",4.42,7.58,7.06,7.97,8.18
"3959_LGALS3BP",8.07,9.36,8.1,7.1,7.45
"3960_LGALS4",4.24,3.87,3.95,3.78,4.26
"3965_LGALS9",6.84,6.44,6.37,6.64,6.72
"3975_LHX1",3.18,2.76,2.56,2.56,2.75
"3981_LIG4",3.04,3.05,2.97,3.75,2.58
"3983_ABLIM1",3.68,6.14,4.96,5.85,4.82
"3987_LIMS1",4.07,4.54,5.19,4.19,3.6
"3988_LIPA",5.88,6.95,6.16,6.75,6.81
"3992_FADS1",6.2,7.01,6.95,6.69,6.08
"3993_LLGL2",7.37,5.99,6.29,5.95,7.68
"3995_FADS3",6.59,7.86,8.15,6.92,6.99
"4001_LMNB1",8.09,7.51,7.07,7.8,6.94
"4015_LOX",3.01,3.1,5.24,5.62,2.78
"4016_LOXL1",4.5,5.33,6.83,5.62,4.61
"4017_LOXL2",3.79,6.63,8.22,8.76,3.96
"4023_LPL",3.78,3.28,3.22,3.42,3.49
"4033_LRMP",3.9,3.15,3.22,3.59,3.53
"4046_LSP1",4.79,3.87,3.81,4.08,4.24
"4048_LTA4H",7.44,7.42,6.53,5.97,7.77
"4052_LTBP1",3.9,3.16,6.53,4.4,4.61
"4060_LUM",2.53,2.59,7.77,2.53,2.84
"4061_LY6E",8.72,7.82,7.84,9.26,9.48
"4065_LY75",2.34,2.24,2.2,2.23,2.14
"4066_LYL1",6.46,5.21,5,5.1,5.5
"4068_SH2D1A",3.05,2.76,2.82,2.89,2.72
"4069_LYZ",3.62,2.96,3.07,3.1,2.96
"4070_TACSTD2",7.07,5.65,2.87,3.3,8.29
"4071_TM4SF1",3.64,7.32,8.01,7.86,3.79
"4072_EPCAM",6.7,3.17,2.53,2.66,6.69
"4082_MARCKS",5.39,6.91,8.24,8.29,3.81
"4085_MAD2L1",4.3,6.04,5.14,4.86,4.52
"4086_SMAD1",3.89,3,4.43,4.73,4.03
"4089_SMAD4",5.96,7.49,7.69,7.52,6.51
"4092_SMAD7",3.99,4.09,4.55,4.55,3.7
"4100_MAGEA1",2.7,2.75,2.99,2.75,3.33
"4103_MAGEA4",2.45,2.54,2.76,2.83,2.65
"4111_MAGEA12",4.65,4.24,4.98,3.99,4.53
"4113_MAGEB2",2.46,2.68,2.55,2.74,2.56
"4116_MAGOH",4.3,5.33,4.7,5.41,4.38
"4118_MAL",6.71,6.38,6.36,6.71,6.46
"4121_MAN1A1",2.38,2.3,2.67,2.87,2.44
"4131_MAP1B",3.07,5.12,5.73,3.85,3.22
"4141_MARS",5.34,7.02,7.29,7.13,6.8
"4151_MB",6.93,5.15,4.92,4.98,6.07
"4154_MBNL1",4.24,5.5,6.64,5.13,4.7
"4157_MC1R",6.74,6.41,6.17,6.74,7.09
"4162_MCAM",3.57,3.76,4.69,3.32,3.02
"4163_MCC",2.98,2.76,2.88,3.13,3.34
"4170_MCL1",7.3,7.7,7.51,7.88,7.25
"4171_MCM2",8.75,8.4,8.41,8.12,8.6
"4174_MCM5",6.32,6.62,7.18,6.52,6.27
"4176_MCM7",9.74,10.34,9.05,9,8.35
"4179_CD46",4.46,6.55,5.83,5.75,7.74
"4188_MDFI",3.69,3.23,3.38,3.41,3.42
"4192_MDK",9.58,6.52,7.4,8.76,7.3
"4199_ME1",3.52,3.91,4.5,3.6,2.71
"4204_MECP2",5.02,6.39,5.18,5.87,5.37
"4205_MEF2A",3.25,3.89,4.49,3.73,3.23
"4214_MAP3K1",4.5,5.94,4.67,4.71,6.5
"4222_MEOX1",2.62,2.83,2.51,2.68,2.71
"4232_MEST",6.61,5.32,6.48,6.03,4.64
"4233_MET",3.98,5.84,6.61,5.78,2.76
"4240_MFGE8",5.93,6.79,7.37,5.67,5.75
"4241_MFI2",6.68,7.66,6.42,6.41,6.6
"4255_MGMT",7.07,5.2,5.23,6.26,6.93
"4256_MGP",3.04,2.77,3.73,4.24,8.7
"4258_MGST2",7.52,7.19,5.96,5.83,6.43
"4259_MGST3",7.38,8.15,8.33,7.75,8.93
"4267_CD99",7.85,10.56,10.12,9.17,9.29
"4277_MICB",5.3,9.2,6.57,7.86,8.49
"4281_MID1",5.17,6.89,6.93,8.18,6.31
"4282_MIF",11.62,11.12,11.55,11.55,11.49
"4286_MITF",5.01,4.8,5.02,5.15,4.48
"4311_MME",6.12,6.05,5.9,6.18,6.12
"4312_MMP1",2.72,2.46,2.46,2.75,2.54
"4314_MMP3",2.76,3.1,3.18,3.36,2.97
"4316_MMP7",3.6,3.37,3.26,3.61,3.57
"4323_MMP14",4.46,10.66,9.39,10.1,5.23
"4329_ALDH6A1",4.24,3.67,2.95,2.61,5.17
"4332_MNDA",2.74,2.43,2.56,2.46,2.63
"4345_CD200",5.06,4.76,4.65,4.57,4.6
"4353_MPO",5.24,4.85,5.02,5.21,5.18
"4354_MPP1",4.87,5.96,5.31,4.67,4.95
"4357_MPST",7.02,7.31,7.07,7.11,6.72
"4430_MYO1B",4.34,6.55,6.96,6.32,4.57
"4435_CITED1",5.75,5.23,5.29,5.36,5.62
"4440_MSI1",5.48,3.41,3.64,3.36,4.68
"4478_MSN",3.74,8.87,8.83,9.32,2.87
"4486_MST1R",4.63,4.44,4.22,4.43,5.29
"4487_MSX1",5.11,4.23,4.77,5.83,4.88
"4489_MT1A",9.06,9.92,9.05,9.46,8.49
"4494_MT1F",8.27,9.46,8.29,9.41,7.35
"4495_MT1G",6.87,5.43,5.25,5.68,5.36
"4501_MT1X",6.69,7.62,7.01,9.26,4.74
"4502_MT2A",9.67,11.85,11.44,12.07,8.46
"4582_MUC1",8.16,6.45,6.64,7.8,9.94
"4591_TRIM37",9.2,7.01,6.45,6.39,6.54
"4599_MX1",4.87,4.58,4.22,8.44,5.19
"4600_MX2",4.66,4.22,4.44,4.76,4.63
"4602_MYB",3.73,3.21,3.32,3.43,3.69
"4605_MYBL2",7.14,5.54,7.16,7.73,6.83
"4609_MYC",7.04,6.91,6.89,7.11,6.46
"4627_MYH9",7.55,10.48,11.29,10.52,8.96
"4635_MYL4",4.56,3.5,3.58,3.66,3.99
"4638_MYLK",4.17,6.72,7.95,3.85,3.37
"4643_MYO1E",4.59,4.23,5.24,4.91,4.37
"4664_NAB1",4.1,5.11,4.42,4.26,3.95
"4673_NAP1L1",4.31,5.74,4.55,4.94,4.45
"4677_NARS",8.54,8.84,9.48,9.16,8.15
"4680_CEACAM6",3.55,3.02,3.01,3.13,3.49
"4683_NBN",7.62,7.14,7.47,7.37,6.84
"4689_NCF4",5.21,4.41,4.37,4.54,4.76
"4692_NDN",4.1,3.34,3.65,3.57,4.31
"4698_NDUFA5",3.66,3.37,3.48,3.25,3.51
"4700_NDUFA6",5.95,6.33,6.9,5.74,6.9
"4707_NDUFB1",9.39,8.85,8.28,8.66,9.73
"4711_NDUFB5",7.88,7.57,7.84,6.52,8.98
"4715_NDUFB9",9.83,7.16,9.21,9.58,9.88
"4716_NDUFB10",8.61,7.53,7.38,7.6,8.37
"4728_NDUFS8",6.55,7.11,6.42,6.01,6.66
"4729_NDUFV2",6.45,7.02,6.28,5.57,6.73
"4734_NEDD4",4.53,5,5.02,5.83,4.57
"4739_NEDD9",3.07,3.77,4.34,3.66,3.83
"4744_NEFH",3.18,3.04,2.83,2.8,2.8
"4747_NEFL",2.37,2.33,2.37,2.21,2.51
"4753_NELL2",3.37,3.26,3.31,3.41,3.13
"4756_NEO1",6.51,5.62,5.53,5.2,5.82
"4758_NEU1",7.44,7.54,7.7,7.7,7.87
"4771_NF2",6.05,5.68,7.49,8.44,6.56
"4773_NFATC2",4.53,5.03,4.3,4.2,4.53
"4774_NFIA",3.3,3.52,3.24,3.1,5.13
"4778_NFE2",4.29,3.75,4.1,3.87,4.23
"4780_NFE2L2",4.7,5.87,5.79,4.53,4.73
"4783_NFIL3",3.99,4.67,5.22,5.75,4.09
"4784_NFIX",6.16,7,7.57,8.59,6.12
"4792_NFKBIA",7.37,7.97,7.73,7.85,7.99
"4803_NGF",4.59,5.06,6.38,5.65,4.18
"4809_SNU13",6.66,7.06,6.78,6.67,6.47
"4811_NID1",3.56,3.09,2.83,3.6,3.23
"4824_NKX3-1",2.86,6,5.02,3.5,3.31
"4828_NMB",6.16,4.75,4.89,5.63,4.58
"4832_NME3",7.94,6.66,7.38,7.25,8.6
"4833_NME4",8.13,7.64,8.38,8.82,8.52
"4835_NQO2",6.48,7.19,6.95,6.18,6.15
"4836_NMT1",5.94,6.67,6.35,5.34,6.31
"4837_NNMT",4.91,7.28,8.82,9.3,4.52
"4854_NOTCH3",8.02,4.84,8.09,6.5,8.45
"4856_NOV",3.9,3.66,6.49,4.28,3.52
"4860_PNP",6.94,8.11,6.63,6.91,7.73
"4863_NPAT",5.07,6.5,5.69,5.63,5.39
"4869_NPM1",8.64,9.68,9.28,9.64,9.39
"4879_NPPB",6.2,5.56,7.41,5.33,5.44
"4884_NPTX1",3.36,3.19,3.13,4.52,3.17
"4885_NPTX2",3.96,3.53,3.65,3.69,3.57
"4886_NPY1R",7.09,2.63,2.79,2.84,2.89
"4900_NRGN",6.43,7.15,5.89,5.68,6.63
"4907_NT5E",2.73,6.86,5.36,5.82,3.23
"4921_DDR2",4.42,4.8,6.77,6.02,4.45
"4922_NTS",2.19,1.96,1.99,2.22,2.15
"4923_NTSR1",6.01,4.82,5.02,5.41,5.37
"4925_NUCB2",3.27,4.35,3.93,4.05,3.62
"4935_GPR143",5.97,5.22,5.19,5.21,5.57
"4938_OAS1",4.4,4.1,4.23,5.17,4.44
"4939_OAS2",4.77,4.82,4.8,6.39,4.88
"4942_OAT",6.09,8.23,7.79,7.32,6.98
"4953_ODC1",8.9,8.98,9.08,8.7,6.91
"4967_OGDH",8.45,8.97,8.72,8.48,7.59
"4973_OLR1",2.34,2.29,2.26,2.53,2.82
"4982_TNFRSF11B",2.93,2.34,5.07,2.6,2.39
"5001_ORC5",5.04,5.05,4.86,4.39,4.09
"5003_SLC22A18AS",4.25,4.21,4.39,4.35,4.44
"5010_CLDN11",3.14,2.96,2.43,3.22,3.01
"5018_OXA1L",7.24,7.46,6.89,6.84,6.81
"5019_OXCT1",4.52,4.67,6.22,5.67,3.52
"5026_P2RX5",6.61,6.27,6.18,6.01,5.76
"5029_P2RY2",5.91,4.66,4.21,4.2,5.99
"5033_P4HA1",6.02,6.54,7.73,7.28,5.82
"5036_PA2G4",6.13,7.49,6.79,7.96,7.31
"5048_PAFAH1B1",4.89,6.15,6.47,6.86,6.07
"5050_PAFAH1B3",7.73,7.65,7.1,7.54,7.72
"5052_PRDX1",10.54,10.25,10.55,10.88,10.56
"5054_SERPINE1",4.85,10.55,10.19,7.95,4.73
"5055_SERPINB2",4.3,4.18,4.4,4.23,4.29
"5087_PBX1",3.7,3.07,3.25,3.84,4.81
"5090_PBX3",3.41,5.02,4.07,5.4,4.88
"5092_PCBD1",7.67,7.55,6.41,6.75,7.03
"5095_PCCA",4.38,3.92,4.79,4.77,5.63
"5099_PCDH7",3.03,2.78,5.32,3.1,2.62
"5101_PCDH9",2.93,2.81,2.91,3.91,2.35
"5105_PCK1",2.63,2.82,2.71,3.27,3
"5111_PCNA",7.9,8.46,8.19,7.74,8.53
"5118_PCOLCE",7.1,6.02,8.5,5.9,5.85
"5121_PCP4",4.07,3.11,3.05,3.5,6.02
"5125_PCSK5",3.35,2.68,2.84,2.82,2.92
"5134_PDCD2",4.32,5.16,4.05,3.84,4.37
"5139_PDE3A",3.35,3.02,4.3,3.02,3.1
"5141_PDE4A",4.9,5.77,5.37,5.43,4.43
"5142_PDE4B",3.3,3.84,3.46,4.94,3.28
"5144_PDE4D",3.8,4.03,3.93,3.91,3.71
"5151_PDE8A",6.28,6.68,6.24,5.92,5.49
"5157_PDGFRL",3.18,3.06,4.46,2.92,3.12
"5158_PDE6B",3.05,2.73,2.92,2.89,3.28
"5168_ENPP2",2.98,2.55,3.48,2.9,2.64
"5170_PDPK1",7.37,6.79,6.16,6.56,7.07
"5172_SLC26A4",3.13,3.07,4,3.56,3.44
"5176_SERPINF1",6.45,6.5,6.45,6.47,6.95
"5191_PEX7",4.13,3.65,3.55,3.52,3.84
"5193_PEX12",3.95,4.61,4.63,3.7,4.03
"5207_PFKFB1",7.04,8.27,7.48,8.7,8.63
"5209_PFKFB3",5.37,6.19,6.22,7.21,8.6
"5213_PFKM",7.09,6.45,6.43,6.66,7
"5217_PFN2",8.54,6.17,9.1,8.52,8.26
"5218_CDK14",3.61,3.83,6.15,3.71,3.61
"5226_PGD",8.95,8.37,8.47,9.89,8.89
"5230_PGK1",5.77,7.97,7.15,7.64,6.47
"5236_PGM1",5.66,7.22,7.37,6.95,5.94
"5243_ABCB1",3.4,3.11,3.21,3.5,3.22
"5264_PHYH",4.46,5.67,4.91,5.56,7.26
"5265_SERPINA1",4.97,5.52,4.94,5.19,8.23
"5266_PI3",6.48,5.75,5.89,6.04,5.98
"5268_SERPINB5",3.27,2.99,2.96,3.09,3.09
"5269_SERPINB6",7.85,8.35,8.18,7.14,7.67
"5270_SERPINE2",4.34,3.96,8.13,8.99,4.14
"5274_SERPINI1",4.01,2.98,3.22,3.52,4.55
"5281_PIGF",6.11,6.35,6.21,4.91,6.06
"5283_PIGH",5.38,5.82,5.56,5.19,5.98
"5286_PIK3C2A",3.65,4.66,4.4,3.97,3.5
"5287_PIK3C2B",5.93,4.4,4.71,4.65,5.93
"5292_PIM1",6.88,7.94,7.41,7.93,6.63
"5304_PIP",3.71,3.48,3.59,3.59,8.6
"5307_PITX1",7.21,7.91,7.4,8.82,7.53
"5308_PITX2",3.33,3.17,3.8,3.72,3.35
"5317_PKP1",6.14,5.17,5.07,5.31,5.13
"5320_PLA2G2A",5.61,5.32,5.18,5.19,5.38
"5327_PLAT",4.88,6.96,5.9,5.22,4.82
"5328_PLAU",5.05,8.22,6.32,6.6,4.52
"5329_PLAUR",6.94,7.98,8,7.42,6.35
"5339_PLEC",7.12,9.42,9.39,8.91,8.92
"5351_PLOD1",8.28,8.42,10.14,10.03,8.53
"5352_PLOD2",5.2,6.08,8.18,6.92,7.01
"5354_PLP1",3.3,3.23,3.21,3.76,3.56
