"","WT_00Hr_1","WT_00Hr_2","WT_00Hr_3","WT_02Hr_1","WT_02Hr_2","WT_02Hr_3","WT_04Hr_1","WT_04Hr_2","WT_04Hr_3","WT_06Hr_1","WT_06Hr_2","WT_06Hr_3","WT_08Hr_1","WT_08Hr_2","WT_08Hr_3","WT_10Hr_1","WT_10Hr_2","WT_10Hr_3","WT_12Hr_1","WT_12Hr_2","WT_12Hr_3","WT_14Hr_1","WT_14Hr_2","WT_14Hr_3","WT_16Hr_1","WT_16Hr_2","WT_16Hr_3","WT_18Hr_1","WT_18Hr_2","WT_18Hr_3","WT_20Hr_1","WT_20Hr_2","WT_20Hr_3","WT_22Hr_1","WT_22Hr_2","WT_22Hr_3"
"11364",-0.235775045753192,-0.0117767112060017,0.17266689667802,-0.299827188402157,-0.272875649937771,-0.113603251207977,-0.185877037836272,0.0524335325559964,0.131137072371884,-0.141428864285668,0.0139029847469451,0.234901011143138,0.00377899050495793,0.140919945422579,0.203500357689933,0.0513234246794168,0.0225058113105653,0.0770644346965643,0.124254331992031,-0.0700894897020101,0.366298211495875,0.0329475985237143,0.135906077264056,-0.0606854022910331,-0.246118768184881,-0.0403643621481187,0.123402926658285,-0.235247125942747,0.204642518315045,0.0378083611879086,-0.0404039846076323,-0.100100241763295,0.198439315244018,-0.350997306787484,0.0130795065232779,0.0642571210520318
"11425",0.0191970823844471,0.0963169759630236,0.116366234584124,0.0559825755470473,-0.0419247154877456,0.0387941234914837,0.0962705179385422,0.019209468705203,-0.010077184416598,-0.267181726806044,-0.0986336783410814,-0.0833489347389601,0.019188425528169,-0.0101203497477105,0.0560096501450984,-0.0100722611162736,0.13498798026147,-0.185133217094244,0.002468567813865,-0.431110799963903,-0.0833229087320816,-0.18506398329856,-0.0554636557605066,0.0024991401220914,0.0750094022038836,-0.0101033408966149,0.0751528353102746,0.233102902745377,0.0388080940443794,-0.11341474804945,0.160304887596515,0.0962894871685957,0.0962673620963455,0.116404606014838,-0.0986242456665416,0.13496543045154
"11432",-0.0130135752077073,0.0196390093617058,0.0213009231632454,0.0255790727942463,0.0746065615651636,0.239431442859411,0.299816993323267,-0.0227742881237188,0.298880613770792,0.0121637017135563,-0.225158624792849,0.0355979671695072,0.0260631107248658,-0.0305580176209067,-0.0995916716957359,-0.00492300619148966,0.0329485269115895,-0.120840287579776,0.00993894991757079,-0.22276497359903,-0.147289069405012,-0.246518720340452,-0.120539692190729,-0.0866502557756877,-0.0343378115625521,-0.136132995059746,-0.0477683816986614,-0.0213364944430062,-0.0441771671339047,0.0323077038707814,0.148259705480512,-0.261377532194301,-0.0338642478519423,0.216873567847351,0.198706912716831,0.227502049276811
"11438",0.0088201957657548,-0.0450891424110086,0.236499750636723,0.123164092535738,-0.018612845613155,0.801475580323066,-0.183230805785356,-0.0508121740301729,-0.0780745243716613,0.00557407874921654,-0.0442117774176549,0.0307445516269314,-0.122000677998316,-0.0251552068158017,-0.0483881332437592,-0.130160648503835,-0.00895028820014029,0.00138877583252201,-0.158022556669717,-0.0680916380288638,-0.180736222142095,-0.163642143236955,-0.157810858083691,-0.115808369370124,-0.144887475960942,-0.144421450314982,-0.152292946983426,0.0444503438981015,-0.0984566312872118,0.0134820372081473,0.279840810788692,0.0179153067436335,-0.155800377278024,0.377227526924445,-0.0496917863573366,0.403765629071257
"11459",-0.148490918092567,-0.114402264415618,-0.0944365871150007,-0.18041559141468,-0.161281056252684,-0.114520283008667,-0.115461029293971,-0.111394451260323,-0.0699904247958422,-0.183421955546048,-0.138277771777914,-0.0925344119795403,4.09019848698026,-0.152657696344108,-0.127655245278682,-0.0965465858803032,-0.176777727349692,-0.103638104419859,-0.103762417059317,-0.0520941554303031,-0.131740648018582,-0.133077894547178,-0.134025366738457,-0.0799762770544587,-0.133797068454446,-0.122272381715361,-0.105473687937226,-0.0242632401054551,-0.117221491372434,-0.0769372675238119,-0.174184348560389,-0.0971121111295286,-0.087652951484138,-0.0980651934259553,-0.191009536124623,-0.0456303460730977
"11461",0.530171172303378,0.132579330891607,-0.299885564013849,0.30018830205462,0.137664181555872,-0.158234193570879,0.446322944354195,0.161792485667714,-0.350013879881528,-0.0467062685488258,0.234688040765501,-0.278147881379344,0.0919800468134201,0.194706577784225,-0.252641854298497,-0.0692109501732969,0.091526839514458,-0.267484532390796,0.0919724265350703,-0.100523047782277,-0.316139496716805,0.278042722684922,0.076997530942848,-0.239422704773449,-0.0169268550771583,0.393015260584046,-0.0875499688280689,-0.175390661367723,0.0844697843912374,-0.334960792800786,-0.0258230512657153,0.27446515234014,-0.277730530332178,-0.398865953987618,0.349027433688653,-0.173952045683114
"11468",-0.0281719838379765,0.0148007938548258,-0.0964715410175561,0.644190387231494,-0.0845176950483747,0.0586456100917795,-0.0896349151764977,-0.0109030797112008,-0.0538328725360014,0.0701455436589835,-0.0495732359013,0.0176337251290091,0.638176519172017,-0.0564026728176395,-0.0288666113822322,-0.0108187030425529,-0.0714548138504533,-0.0155922139272675,0.132693043392622,-0.0661385563834427,-0.108592862984319,-0.0667698281847288,-0.0514597347741646,-0.0570020370596638,-0.0621953164470207,-0.0932837448036952,-0.0608071971644298,-0.0228252753493431,0.0125536776333505,0.00567829187137538,-0.138833909858215,-0.0166541453280521,-0.126603487691604,-0.0564484289586126,-0.0500868399716852,-0.0205758888274277
"11472",-0.010281287395175,0.0124803157875414,-0.0265732416020723,-0.0852687548597613,-0.00821624633181816,-0.0563801739170572,-0.0271859952845442,-0.0129375165147382,-0.0263901096018402,-0.0375476641964232,0.0331870310650659,-0.0120149483214052,0.701133231928938,-0.0240698190772959,-0.0222452738585485,-0.0050038717149589,-0.0423704346211769,0.0931644180953947,-0.0215200213731311,0.0158335520947715,-0.0133155992745032,0.00486336157573748,-0.0817422819222619,-0.00815220696626224,0.0265751001319976,-0.108999835275101,0.0133490533635018,-0.0283261967538417,-0.056287563681139,-0.0290456372571632,-0.0358540856850169,-0.030309598002322,-0.0583007353272874,0.00727035674878038,0.0338831369736485,-0.0734004589505325
"11475",-0.0197031769953585,-0.00434154942547434,-0.0667993485231784,0.577585155564426,-0.13038496538396,0.163376286751863,-0.0747718091973957,-0.0411050547852305,-0.0123397756211546,0.063588730568061,-0.001587850180834,-0.0374545804455051,0.381349487385893,0.033882914548573,-0.0716202581594019,-0.0702942367710494,0.021029553208562,-0.00813397058493345,0.31520671452621,-0.0615192903821977,-0.102968886218194,-0.048620483929804,-0.0827391289033717,-0.0426551316058966,-0.11212098615934,-0.0577776830303003,-0.10145805139591,-0.00529615825885221,-0.11263445184153,-0.041924053457705,0.0152838918116002,-0.0490483987679531,-0.146560971251716,-0.00637562933191684,-0.00945896881913676,-0.0516078849378893
"11502",0.150660612100268,-0.243700363315767,0.282583150364182,-0.0889819212222203,0.239804839346094,-0.209421265085131,0.0850284388733415,0.197683798231956,-0.171970318413818,-0.0225547605626263,0.0214461428463901,-0.461286068102676,-0.237822710121798,-0.0893365022914523,0.127659196494415,-0.0396365308278423,-0.206816876396056,0.240929023087038,-0.242234620953377,0.0661649598077863,-0.0151705629198213,0.112647295279955,-0.342971364530054,-0.124174988439917,0.347616849526538,-0.0173053235106093,0.104953784186349,0.119572206946009,-0.146045573196216,0.0482526898673522,-0.101467527908528,0.380241852247208,0.0715824115690161,0.176105132938631,0.0963170295476142,-0.108352135462234
