"","WT_00Hr_1","WT_00Hr_2","WT_00Hr_3","WT_02Hr_1","WT_02Hr_2","WT_02Hr_3","WT_04Hr_1","WT_04Hr_2","WT_04Hr_3","WT_06Hr_1","WT_06Hr_2","WT_06Hr_3","WT_08Hr_1","WT_08Hr_2","WT_08Hr_3","WT_10Hr_1","WT_10Hr_2","WT_10Hr_3","WT_12Hr_1","WT_12Hr_2","WT_12Hr_3","WT_14Hr_1","WT_14Hr_2","WT_14Hr_3","WT_16Hr_1","WT_16Hr_2","WT_16Hr_3","WT_18Hr_1","WT_18Hr_2","WT_18Hr_3","WT_20Hr_1","WT_20Hr_2","WT_20Hr_3","WT_22Hr_1","WT_22Hr_2","WT_22Hr_3"
"11364",-0.229684315014433,0.0105585759738215,0.156982912943656,-0.304825638913491,-0.282856855326164,-0.112678324007599,-0.199813862807774,0.0670767622171437,0.156208191771857,-0.119983674171637,-0.00145116710078118,0.206868780500048,0.00295824910521878,0.135578949762024,0.217615128856342,0.0820820662190685,0.0216145736392563,0.0611390161828585,0.10827936828147,-0.0698633137965624,0.357366608247377,0.0655249972957092,0.0984089471017809,-0.0525795864208868,-0.305617504257553,-0.0328984950463549,0.170290274970325,-0.224802823654207,0.216377011993644,0.0346687050491003,-0.0272713288030273,-0.0999949577837342,0.182336115533245,-0.338763223657396,0.00275320150064578,0.0483966336170098
"11425",0.0182547065628834,0.0753698402633241,0.104905354891106,0.0604231693403614,-0.0419628803969434,0.0742751811146421,0.101796364545832,0.0248104059672736,-0.012170587670699,-0.265720198813566,-0.113329415277061,-0.0800253909531462,0.0250356078030984,-0.0276286604913679,0.0696588123129155,-0.0373981309747506,0.137717560666241,-0.18876199475815,0.0153773749981371,-0.431084316652695,-0.0799989666928121,-0.160613226272938,-0.0684277814017694,-0.00458503948934273,0.0891557762154586,-0.0315523671918811,0.0756802505006937,0.231163408935709,0.0675198237503197,-0.107691583009941,0.143382950630427,0.100349950252475,0.0999719604225066,0.107899471420247,-0.0902701007364353,0.118472670189847
"11432",-0.0146839188509408,0.018732801500541,0.0297459464796209,0.025855634509052,0.0778160278576457,0.228548187233861,0.302633680481079,-0.0291373435601923,0.291472208293953,0.00485635387862202,-0.215854060602639,0.0435880909963268,0.0245813921118072,-0.0236225487067245,-0.108186847053504,-0.00662484371115726,0.0324196314781204,-0.114654862349897,0.0112057366130054,-0.222845344770063,-0.145419097508804,-0.264252505898693,-0.104656976260011,-0.0871336508684138,-0.019494837854913,-0.13212513620808,-0.0629489306728452,-0.0241042443931044,-0.0565040727325788,0.0316059933381253,0.149101067461469,-0.262622834273262,-0.0298100052139916,0.21549142142728,0.199522840404614,0.237505047424693
"11438",0.00949128287737128,-0.020891464760409,0.252029907259226,0.118056053354181,-0.0177460149994527,0.757306868507392,-0.18895371117681,-0.0589746623275916,-0.0775312267079725,0.0019972852968824,-0.0246886982472368,0.0289156331267475,-0.129199670473315,-0.00295893047784628,-0.0665088736849804,-0.0987275449085043,-0.0122692081718827,0.00720569598997486,-0.172753044888828,-0.068143116999951,-0.184133692988175,-0.196701849823473,-0.138621857344177,-0.107670208836454,-0.157582840317821,-0.118379368206705,-0.15679756863771,0.0460031582406239,-0.135100416132883,0.00662753285894923,0.299791806541866,0.0128606722385597,-0.159082145742446,0.386792618791948,-0.0592258595558621,0.425563460326766
"11459",-0.147063341432968,-0.0488578415371361,-0.0502290558838998,-0.194231551178603,-0.158164163706773,-0.237133934014836,-0.130345490516873,-0.135085895973671,-0.0702710480842069,-0.194875326468876,-0.0830152555999351,-0.0956096096052644,4.07028315585262,-0.0906924163756427,-0.1789385318156,-0.0115279491063101,-0.185922629450661,-0.0863630801171651,-0.143493386346702,-0.0522531161108523,-0.140530069503922,-0.227126600317876,-0.078110570139081,-0.0579747472076653,-0.164777484306243,-0.050550134601213,-0.121315835772058,-0.0206997674308548,-0.219727877321383,-0.0957314235182976,-0.11976618473077,-0.111143885864976,-0.0956098885579554,-0.0723990108256484,-0.216725715240912,0.0159796628122065
"11461",0.534410881137245,0.151862447517174,-0.307837036302692,0.295925697344024,0.131054322815264,-0.165198762365476,0.435901993915553,0.170305421557637,-0.332943448665747,-0.0327992410716348,0.22764614467515,-0.297444395266377,0.0901870491855523,0.194904569612924,-0.24619820464826,-0.0429804192900412,0.0903529389163603,-0.277268822388611,0.0786232839829333,-0.10037873864537,-0.322771479113055,0.294421022765432,0.0549039686715417,-0.232535168545252,-0.0593986231964954,0.402546441503794,-0.0565740884695245,-0.168051370633038,0.0861182217540506,-0.338264853352221,-0.0135013918134152,0.273667750354518,-0.289198917688859,-0.388937702570939,0.340396376607512,-0.180945868289658
"11468",-0.0258852095789646,0.0629836953337312,-0.0707625598936675,0.633969896923885,-0.0846646126210685,-0.0220607613312531,-0.102533949225818,-0.0233036407407211,-0.0484827251716213,0.0673224417111364,-0.0164964436639743,0.00941536206637174,0.624853536767545,-0.0166920910725859,-0.0595912168972061,0.0520746378577542,-0.0776861449947708,-0.00770882332836776,0.102948247419463,-0.0661935154925216,-0.116364810422796,-0.121638307868351,-0.0228413504592506,-0.0406939742236194,-0.0957751705301071,-0.0443071503798483,-0.0609091299427364,-0.0181678580020463,-0.0524976753833214,-0.00741682833925161,-0.100024832558475,-0.0258902203835002,-0.135409473908035,-0.0368106672745069,-0.0693363847889627,0.0165777103974608
"11472",-0.0115695293959594,0.0198103644561664,-0.0136853475102821,-0.0867388007407758,-0.00501456604019866,-0.0811261718913358,-0.0265603252684815,-0.0214559343171588,-0.032923463401602,-0.0453773583331753,0.0481992933755617,-0.00538730943312245,0.697364757682716,-0.0103048172029323,-0.0361419985249372,0.00404230628419788,-0.043967988377732,0.1007316337238,-0.0253339084202711,0.0157433464823914,-0.0127648286218569,-0.0223508976589894,-0.06087888371028,-0.00584890003812522,0.0357548158478514,-0.0965934138955849,-0.00193095949207195,-0.0303123026655142,-0.0798073944670286,-0.0319909152696845,-0.0283703131577759,-0.0331413578395347,-0.0557307519536013,0.00923956409346461,0.0314110514936434,-0.0569886958117801
"11475",-0.0201672735882208,0.0236307770129772,-0.0420439377396157,0.571744559483381,-0.126939725506241,0.102869148542177,-0.0794262439916338,-0.0555665409411279,-0.0172795342788404,0.0538460554455623,0.028543810618277,-0.0335988779431047,0.371707672596056,0.0653948136488977,-0.0995566363968652,-0.0343532110892696,0.0167006492954315,0.00341599132157507,0.298717320843793,-0.0616408220909943,-0.105582971186337,-0.101134878622451,-0.0480456465853546,-0.0333820931121765,-0.115969036240345,-0.02391783358769,-0.118232895643887,-0.00554312975073039,-0.165318421818433,-0.0505700885224998,0.0395442394638044,-0.0559726628186541,-0.147391924349477,0.00390988425133812,-0.0201344647227948,-0.0182560719965267
"11502",0.152189918713766,-0.22195999982527,0.291453566819763,-0.0936192405556119,0.238758208009604,-0.242045144219102,0.0784213907271831,0.194105194362837,-0.16732219750053,-0.0215783505094592,0.0333358129581504,-0.467389691212393,-0.243304515547003,-0.0737675055316216,0.116600448314596,-0.0111000895769239,-0.209430962911413,0.242549734632068,-0.255871870455683,0.0661650487670846,-0.0192042977136312,0.0936273563912979,-0.335078763318779,-0.116762696317576,0.328120792073088,0.00328628430269173,0.109549318919448,0.122493023693178,-0.171254496637904,0.0426339256452602,-0.084437043132145,0.376508304307799,0.0664202917277634,0.185275419444861,0.0874927785328859,-0.0948599533782791
