"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"WT_00Hr_1",-5.36534604088581,0.42969047214262,-0.326028969381616,2.92108387411879,-1.0050525507902,0.529877913416097,-2.57541264620746,1.09749338336309,-1.78420843460417,1.8279711088482,-3.73569967245208,0.631807031182049,-1.18773253223708,-0.351737165572549,0.235835785709958,0.259412582549434,1.55947116240852,-0.105446002015935,-0.770799598571673,-0.0727512887590939,-0.563256489354168,0.964938404041272,0.0702692422636446,0.958604557834944,1.10939764590976,-1.71053647841765,-1.24435061909697,-0.459196606775726,-0.496457344034539,1.82159894806374,1.33024735561007,0.0404958347108208,-0.248513864193771,-0.230010092402191,-0.185615448072729,-2.05850961276788e-14
"WT_00Hr_2",-5.51591186977668,1.13047308929238,-0.344310283800331,1.61709168241308,-2.69888373336804,2.03805758479065,3.43811012657635,-0.48784570620067,-0.790999407866416,-2.02701588219165,0.418580340310277,2.12548285121748,-0.240484525362856,3.68897777012293,-3.20659185635446,-0.987101900370734,0.230891804774896,0.768339222648756,-0.646802758813454,-1.62911211739275,-1.28342639355483,0.391093953294282,0.528475939111164,-0.388482838688653,-0.408345763968041,-0.351604461010374,0.537166237919122,-0.457620110110735,-1.36180760072519,0.107787186306419,-0.835726057398132,0.179879695709039,0.0295884499831426,0.803097273493341,-0.636284575182353,-2.08739275864289e-14
"WT_00Hr_3",-5.58026406825918,0.764058296905465,-2.27330698525534,-5.02165633816965,0.428027417646003,-0.0551649905947818,-0.430798140940431,0.363659259796455,-0.771309389186357,0.496464963209641,-1.27243174438754,0.591930625639659,-3.98370361649052,-0.0518419434970535,-0.960976330088731,0.226604283649312,1.24400398195436,0.906416323040648,0.557200742016509,-0.894302829977593,2.66167410947767,-0.964820423073951,-1.00269404036987,-1.84343206058692,-0.444955673011223,0.0407523542228592,-1.31553509960732,-0.659023437245881,0.131853292685384,-0.636530954997527,-0.398646182639551,0.295253970232044,-0.423425597177624,0.022838849782388,0.513210618344194,-2.12143670685894e-14
"WT_02Hr_1",-6.24243093412645,-2.09608770346337,0.551278863152719,2.185128112444,-2.10047531389512,0.404026058587503,-1.57185685570413,1.1051083446098,-0.721168956859711,2.88796696054482,0.530649609129743,-2.33495056691933,-1.71195549921178,2.19309902947932,0.577311734736152,-2.10679552400867,1.34705540662462,0.230872024458175,2.01095922810868,0.345328324663099,0.457618080420415,-1.23315593131335,0.703693747968484,2.21184320115694,0.809487943568598,0.634434717345809,0.754358408571346,0.575353095645541,-0.259391029659829,-0.665820820732553,-0.755541265001779,-0.755170216294375,0.00103604654162763,-0.523018584349193,0.143022445561732,-2.04445835261247e-14
"WT_02Hr_2",-6.28327293920791,-1.05968865283167,-1.17115346297918,2.17945574042359,0.74538179699153,1.87159875505183,-3.50540480475687,0.965324641504731,-0.349833223824757,1.25151868897705,2.74474565917215,0.304653804076572,-2.30947126158959,0.338759655611963,-1.75527246192829,0.564034325516099,-2.24804162352918,1.75250635190749,-0.0605095606096083,-0.00403163510771594,-1.41559099179056,1.68522428814631,-1.58723909173728,-0.113797587500145,-0.485104372091479,0.901438257267131,0.376070078834105,0.812652212367087,1.38899321714634,-0.0919137388916748,1.01726673904578,-0.0429529037849971,0.13905919357177,-0.344080027805948,0.308193547189214,-2.04879516130241e-14
"WT_02Hr_3",-6.67385886742707,-1.47886778821386,-0.713490267618606,-3.64406585834718,-2.49000145152002,-2.93724647270907,2.45199806962149,-2.28070429976108,-2.47566471407467,0.211459965067017,0.306263728800749,-5.07813737346377,0.999240248818528,-0.586937214015092,-1.88953285176454,-0.575420447040296,-1.12481735563966,0.115150800240711,-0.857222097140262,2.76356490685068,0.598218718480725,0.871037476381463,-0.34600193494637,-0.480317334905101,-0.243694936441186,-0.37570612583735,0.266876831787472,-0.633388840344732,-0.399059893986605,0.667601992791785,-0.171384406753498,-0.213178124784749,0.338166750292249,-0.11077527837801,-0.118584686745619,-2.16251712717441e-14
"WT_04Hr_1",-6.21735043842413,-3.02873693467317,-0.188657411488519,3.0079699229172,-2.6233034266728,1.07423410291521,-2.72480403054254,1.65839578624256,-1.02668635263398,1.0743611886653,1.16608746877699,0.620080643225348,2.73005819096615,-1.47271338576383,2.99124793085552,0.404612364504193,-0.368852499790199,1.66729659280672,-1.13200776083168,0.428905515234913,-0.721388488149114,-0.154532447611591,-0.163820945524539,-0.31007698854237,-0.60813145307793,1.13390107391708,-1.24642654393464,-1.54135186652506,-1.18833477643825,-0.772521331791126,-0.858363754201045,-0.0476491533274975,-0.142631342578872,0.432286180103013,0.416175507669767,-2.08366310316954e-14
"WT_04Hr_2",-3.58030893653765,-7.17370265985922,-1.37459444275097,1.11106936768323,2.85874005848344,2.48878528587859,-2.41716870116823,0.676983382404201,1.77796131940628,-3.59270808048191,-1.21231512287194,-0.316518667563901,2.23830858653544,0.584801406463922,-1.0743851284959,-0.401084239369175,0.372838753747901,0.971225298794065,-1.18226109851409,0.437786715564814,2.08587394222993,0.0022304802633591,1.19079396933705,-0.304938896974203,2.00545734677858,0.661135109078534,0.666807829253879,-0.592273963654651,1.0213072136984,-0.644532285093839,0.98633382490086,-0.273960921346549,-0.247041492475235,0.37378149953546,-0.466215157114673,-1.95071823277937e-14
"WT_04Hr_3",-5.62914112370121,-2.93755704793019,-3.76454533294148,-0.948032378844854,-4.93019588452229,0.186529424881987,-0.953040534162668,-0.642967234349796,0.139712034137807,0.21258894086466,3.16178476963757,2.87191210657927,2.2227659385351,-1.56711400101399,0.0296021922057257,1.08390565004683,-0.322808154510993,-1.2527983038062,3.31910049608288,-0.160385793769431,1.49077587657759,0.524970796067901,0.174216478700534,-0.249787424199744,-0.157963376767767,-1.10208388573332,0.573104762789219,-0.0137732735800981,-0.241022440115458,0.134146148362096,0.589924564274554,0.0995193855263904,-0.192541970620779,-0.267425490611758,-0.768575334739738,-2.04760253891267e-14
"WT_06Hr_1",-2.77316135773535,-7.71618376941458,1.23660083332349,1.66124538007759,2.09167019578971,-2.48261314656214,0.415384593174477,0.78589162775953,1.26628849211544,-1.38584482771503,1.72208401292485,-0.367290710671492,0.765236798574609,1.16447853281569,0.963588487537038,0.0538480707615832,1.6768109915008,-0.300606652097614,-1.2069355755709,0.116107731923028,-1.18220597661585,-1.87991680759926,-1.66542237478699,-1.40933157715662,-0.152201149620003,-0.831615671139325,0.421699343310306,0.513138427128683,-0.127454814514239,0.198613886147391,-0.00696674928219982,0.322333528288743,-0.596208804598715,-1.8623494168391,-0.665672044623727,-2.0341367479304e-14
"WT_06Hr_2",-2.72764737311342,-6.23337980406157,-0.783191330065256,0.140389756119212,1.86606402436689,2.94112774153177,-0.61619487309441,2.47462570302721,1.00723718524737,-1.4886251399355,1.36198395762932,-1.99799011899923,-2.06169795505883,-2.13388873012257,0.933890027651704,-1.74414280907914,-2.71482495509298,-1.18767057847982,-0.39972109623285,-1.14621692857101,-0.320938141783373,-0.835418208513627,2.10362545272153,-0.488037971024853,-0.542212367908339,-1.58601796213209,-0.10825683385519,0.410227091544485,-0.0863474365360992,0.502464041744598,-0.389444821629447,0.489372729070938,0.101410028941222,0.303147843862601,0.511238025951734,-1.96570190680312e-14
"WT_06Hr_3",-1.47326721766027,-5.67201388314736,0.00144493547107712,-3.07851598495765,-3.6296149232024,-0.454522697394024,2.25659521458395,1.8753240782756,-3.11397786516448,0.0986639193063108,0.124268589311933,2.4852520223608,0.376371676334586,-0.329009719743183,1.29660117749389,-0.387245761621962,1.76032104613436,-0.671646271589171,-2.31042283514995,0.25588192940854,0.841854927828388,-0.149961042968489,-0.155632284333319,0.652736871561425,-0.652440334374023,0.468266189783824,1.04418017929537,1.72130083389527,0.650007522330422,0.206301635616663,0.445585730344769,0.574885531992816,0.941069265523881,0.736931462313454,0.856856462261436,-2.1540928762942e-14
"WT_08Hr_1",3.36689565617631,-7.91681164658768,5.13248120033865,1.89842853871127,-0.64887370630578,-0.936654197980607,4.4767737858349,1.01384617889334,5.81031472614995,5.6333620303229,-1.23904342658551,1.3305259845345,0.489827685176119,-2.03118015948818,-2.71847351693667,-0.140585125052681,-0.327712110149901,0.660154979958028,-0.354906366670621,0.455324752125081,0.239927883316814,-0.265139467349862,0.149970294762021,0.0506997022538289,0.018760612616455,0.0130769584050115,-0.27971161876714,0.187477355245179,-0.0562979318151334,-0.180179384024746,-0.125349333993355,0.0244028557071242,-0.0429266844485946,0.117845083267319,0.010496973714213,-2.034743901147e-14
"WT_08Hr_2",2.5534255880416,-7.54414554214006,2.6989296225878,-0.247209487130058,0.252835452810199,1.59239557197531,0.140002826209861,0.0760038124426787,1.56447812299367,-1.99007109244582,-1.06021221649978,-2.19659467358529,0.658940973165047,0.464027263244706,-0.36586239658165,0.0142959863454676,0.587958196027046,-1.7641134911242,1.69495995174905,-1.3642136634994,-0.0741467091197608,0.707528541379803,-1.09617039833136,0.662619603133572,-0.299890875630301,2.10554946766367,-0.727725320510434,-0.716269227492798,-0.388721321046745,0.90076577443385,0.175407013582829,1.57331338944243,0.988770958456687,-0.245385913540281,0.209292072797608,-1.99115897381308e-14
