"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"11364",0.0120131339771055,-0.00311721824805958,0.00481780273352196,-0.0358615860062168,-0.0100373304261584,0.0159801596248878,0.0190616124429544,0.00811477296503251,0.00641826761036116,-0.0319792170995443,-0.00188759646004821,0.0230593155960222,0.000852728896859893,-0.00112517954614728,0.0041270710018133,0.0207866189382229,-0.00302843397336352,0.00653519528210927,0.0123756890842521,0.0010555977495788,0.0257277646372775,-0.0160885753474588,0.00923264042650867,0.00882130908560128,-0.00915345557477127,-0.00930750720844548,-0.0256437335447705,-0.00127942428317439,0.00487417700921258,-0.0114611007607758,0.0223525865663887,0.000629412953335679,0.0315454960427154,0.00188555951302102,-0.0323999683458979,-0.0325313989402527
"11425",-0.010806250129067,0.00673939153431044,0.0121772213523085,-0.000215335460920487,0.0069799621448481,-0.000555134219508736,0.00979517477047544,-0.0153068852620649,-0.00340192338949693,0.00511404544079044,-0.00398394903655599,0.0136032825580968,0.000659798292417229,-0.00541101859900542,0.00556715219972264,-0.0250751593978554,0.000417301659588277,0.00558158757395602,0.0149528781434821,-0.0128407666987602,0.0174725299941192,0.0166179294324661,0.0100484515848089,0.0102234333045012,-0.00695371764382544,0.0230716165917474,-0.0182765499656786,-0.0548053478268183,0.0245160532694499,0.00386512174008291,-0.0088343937911737,-0.0380827691852545,0.0131822753625472,0.0337671756443262,4.41423149817575e-05,0.00394838536470647
"11432",-0.0173336104177206,-0.00327350990575093,0.00384188931277358,-0.00168249483003986,-0.0196181975885518,-0.0169742919081506,-0.00154268799458458,-0.0201212736056218,0.00117141020820997,0.00574155901877511,-0.00266672202020323,0.00835380321702757,0.0221297049847424,-0.00542344886555116,0.0120539264691198,0.0269797138501781,-0.0124340370919262,0.0110448402088454,0.014452601159623,0.00349322615389045,-0.00323888288659518,0.00607054609094038,-0.0108595843972545,-0.0154143272597013,0.00410649191376152,0.026016419715537,0.00106059133661475,-0.010503045786529,0.00863269449208095,0.00430876894082561,-0.0176055682731506,-0.0221610330745498,0.00827180944031666,0.00480250258352798,0.0103681044214704,-0.00800565838013424
"11438",-0.0189912827976554,-0.00228040097228711,-0.00520513448811232,-0.0160208953193684,0.00154784393502392,-0.0366488319977339,0.0123153936444528,-0.0313749911131615,-0.0262587105005221,0.00283773599382701,-0.0208447956808805,-0.047109025346477,-0.0072703343877863,-0.00880312424906614,-0.0285393410463336,-0.00997688808289266,-0.00850881510578072,-0.0131589472007847,-0.00532522641786929,0.0158707320571885,0.00503031029438608,-0.000249590656650197,0.0107327830768486,-0.00463275121135284,-0.0153922116512598,0.0126205912130299,-0.00411932584431563,0.00325718572530149,0.0141542774325244,-0.00955455241381605,0.00884637626834854,-0.0080593532868182,0.0115087305171827,-0.0180518335876246,0.00260500461634306,0.00362788328635029
"11459",0.0149012827281053,-0.0329570133020981,0.0320869741510103,0.0249956710995709,-0.0121717072278655,-0.0235927333493266,0.0945169563281451,0.0282640122781777,0.172313317066482,0.192754257852934,-0.0486770270353995,0.0678900110139595,0.0265424416516288,-0.119345338233371,-0.168173685506102,-0.0138498784968426,-0.0274678503327118,0.0571402617771944,-0.0370181595764237,0.043958636478847,0.0305842862089611,-0.0261461431226574,0.032128595633908,0.00148169444711789,0.00578225104716279,0.0116968777837903,-0.0441371855272373,0.0217505914602943,-0.00781502662966624,-0.0427300493849616,-0.0256471740639344,0.0142437314384599,-0.0245684305302481,0.0380455819035818,0.0095383806397185,-0.00073995019708535
"11461",-0.00583003608613126,-0.00300313092118505,0.00529192795357024,0.0522442962144366,0.00296224107307395,0.0602686542633637,-0.00227904200273111,0.01263803987652,4.3426317460053e-05,0.0132958390557514,-0.0378827338789702,-0.0451452518029736,-0.00288770842913892,-0.00479998967915102,0.0227844152407644,0.00630656733678312,0.0123512855339947,0.0331071238597427,-0.00809505138870599,0.00344236778602078,-0.0277349466813382,0.00415330506968444,-0.0081017832315036,0.0206569270248323,-0.00705798248700867,-0.0181790562269702,0.00302522393950764,-0.0249120090396351,-0.0602266387959117,0.00578576752715249,0.0196425416823764,0.00523148893123566,0.0138997739955664,0.0158235186925188,-0.0214921343157166,0.000572524863727041
"11468",-0.00211814275326567,-0.0098657640377641,0.00821253350500321,0.0111341675477068,-0.00936173742385782,-0.00428000246097159,0.018669103924687,0.0112052050162868,0.0177653923683818,0.0417712644772626,-0.00408267421450333,-0.0109321540430613,-0.0121833039993907,0.00416706616761567,-0.0221892203831415,-0.0237482786999415,0.0216030193160144,0.0103217412625914,0.0243577061466175,0.0292405874495421,0.00317731356470849,-0.0308469282007278,0.0295650404203914,0.036950777375695,0.0311006988387928,0.0237252903923859,0.0339541325349752,0.0272502755642418,-0.00994565744322852,-0.010926988919575,-0.0335963733501743,-0.0264413457575798,-0.0289609273569639,-0.0244189029420934,-0.000859216404887834,0.0235866537282627
"11472",0.00358973264005477,-0.00748178305082138,0.00531546532458271,0.00549091207674992,0.00133282675241716,-0.00557632029160478,0.0103665088943147,0.00731899180505205,0.0291539811972369,0.0314997976237385,-0.00731274625669301,0.0147302847972597,0.00167698081247176,-0.0185932972250858,-0.0347256289986377,0.00901485634526744,-0.00545794284386648,0.0101353218982136,-0.00898494774777225,0.00851338173535352,4.3607405684235e-05,-0.00254819992200877,0.013506840228686,-0.00128363683551044,4.34259717518759e-05,-0.00928114349004139,-0.00630009386228246,0.00553335962341955,0.00101871549615746,-0.000376449943577292,-0.0212356453477922,0.0196550942497599,0.00408179018690092,0.024190501632724,0.0102771698882611,-0.040882226075141
"11475",-0.00254253726001703,-0.0101790233217326,0.00830995665393343,0.011152324217681,-0.00933798886209321,-0.00975017133181535,0.0143482506634297,-4.3437565271586e-05,0.00533506938410891,0.0271888786882746,-0.00604394621748977,-0.027794925949735,-0.00867402797353882,0.00962380555932601,-0.00638414969798495,-0.0230429034648975,0.01374972000262,0.0144513198203246,0.0443007570132451,0.0214269403262148,0.00555592356337456,-0.035218296194604,0.0181742151042509,0.0265730006173888,0.0173001897940242,0.009010316314677,0.0284979202847635,0.0193369186576734,-0.0115982039484115,0.00467995136717066,-0.0182420532528711,-0.00667472605268447,-0.0353920511723082,0.0109603930251516,0.0108985223846557,-0.00904246538191926
"11502",-0.00411827500948857,0.0075153636789972,-0.0118688807062396,0.00472865000848357,0.0495862327154239,-0.00376404125672885,-0.0339751838427415,0.0136986685698362,0.00730645823640445,0.00206470156653266,-0.00160308805554313,0.000428767532303927,-0.0209867198570383,-0.00506539885219891,0.00233211896890319,0.0194531396119762,0.012562688637316,0.0173004567001803,0.0106553997101691,0.0119574337252527,0.00826158733840955,0.0457378778180589,-0.00133128579338368,-0.0196565510340703,0.0155390572015985,-0.00693181270032693,-0.0245103570644336,-0.0344468763083928,-0.00714530346592813,-0.0272065339161896,-0.0269758369637689,0.0180071678113123,-0.00913047283118777,-0.0082793277418865,-0.00355244084789849,0.0245255868990309
