ID	T1_1	T1_2	T1_3	T1_4	T1_5	T2_1	T2_2	T2_3	T2_4	T2_5	T2_6	T2_7	T2_8	T2_9	T2_10	T2_11	T2_12	T2_13	T2_14
217127	14	9	10	12	10	4	4	6	3	2	118	19	31	122	50	20	94	24	123
217138	11	3	6	11	14	3	2	6	0	1	1	0	0	1	5	0	0	2	0
217140	1	1	6	2	8	3	1	2	0	0	4	2	2	2	0	1	7	2	4
217143	17	16	27	30	12	0	8	3	1	5	0	0	6	7	4	2	5	3	0
217149	3	5	1	1	2	3	5	2	0	2	3	3	1	11	5	3	2	2	4
217151	0	0	0	4	1	0	0	0	0	1	4	0	0	3	0	0	0	0	4
217154	1	0	1	1	0	0	1	0	0	1	2	2	2	0	0	0	2	1	0
217166	62	96	139	135	146	288	453	255	315	358	119	226	35	81	118	68	107	100	60
217169	0	0	1	0	0	0	0	0	0	2	6	0	0	1	2	0	0	0	1
217194	0	2	12	8	4	8	6	8	2	4	82	0	18	54	33	4	53	18	38
217198	6	1	2	4	0	11	16	6	3	22	13	5	6	18	19	7	4	3	10
217201	12	8	16	6	12	15	46	27	24	39	27	11	40	41	17	9	9	5	26
217203	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0
217207	2	8	5	11	8	8	11	6	8	28	130	41	81	106	74	60	122	57	101
217212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217214	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0
217216	0	0	0	0	0	0	2	0	4	0	2	0	2	7	2	1	16	2	2
217217	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	6	0
217218	34	46	50	38	44	32	46	34	22	43	66	22	32	58	54	31	65	27	38
217219	34	35	39	45	29	38	16	32	6	62	23	20	14	17	26	23	19	8	27
217232	6	14	8	15	8	6	6	5	5	8	203	24	51	168	59	19	157	14	151
217246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217258	0	0	0	0	0	0	2	0	0	0	1	0	1	4	0	0	4	0	0
217262	0	0	0	0	0	0	2	0	0	4	30	2	2	18	1	4	14	6	10
217265	0	0	1	0	2	0	2	3	2	6	36	0	4	36	9	0	22	4	15
217294	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	3	0	1
217302	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217303	0	0	0	2	0	0	0	0	0	0	63	0	0	4	11	2	11	1	2
217304	2	0	0	0	0	0	0	0	0	0	5	0	0	2	1	0	0	0	0
217305	0	0	0	0	0	0	0	0	0	0	58	0	0	0	3	2	4	2	0
217306	0	0	0	0	2	0	0	0	0	0	17	0	0	0	0	0	0	0	1
217310	0	0	0	2	0	7	2	2	0	9	14	2	0	12	5	9	6	1	13
217316	11	4	4	2	7	43	7	28	8	17	48	63	22	32	44	4	28	20	17
217325	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
217331	4	12	13	3	9	4	3	10	6	12	22	11	15	49	14	6	29	3	19
217333	18	6	15	13	23	2	3	11	1	0	14	2	0	6	2	4	3	2	2
217335	14	4	29	11	16	6	6	18	0	19	45	5	23	25	18	14	35	4	47
217337	2	6	16	14	10	17	10	8	2	16	85	10	10	58	19	14	42	8	52
217340	19	33	42	49	24	9	11	23	4	21	9	33	37	39	10	17	33	38	11
217341	1	3	0	3	3	1	1	2	0	0	1	3	6	0	2	3	0	0	0
217342	8	9	20	12	11	11	6	12	20	16	104	12	39	91	42	15	78	10	72
217344	2	0	0	0	2	0	2	1	2	0	11	0	0	3	0	7	2	3	4
217351	10	12	49	21	29	22	17	19	31	13	141	34	27	98	65	45	91	31	80
217353	9	9	3	7	6	5	15	14	5	7	11	5	6	17	5	9	3	7	5
217356	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
217364	4	0	2	2	0	99	146	98	28	98	68	76	82	87	175	44	159	21	35
217365	15	18	15	6	8	6	17	6	9	27	81	17	6	47	44	19	43	11	70
