tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
15557	0	0	10	7	3	2.35917040212891	3
15893	1164	1469	1133	973	1220	539	1308
15936	935	1460	1055	1148	878	1583	3558
15953	4785	650	265	1040	2881	6660	408
15959	1130.14922079504	266.653736998885	68.0324344579404	619.673700046157	655.771329184281	2630.07073149896	220.81395470831
16008	1995	2567	1527	2510	1436	12125	6598
16009	28177	11848	8086	12731	8390	8196	8578
16153	63	0	6	5.82609230471252	3	46	1
16154	3653	344	579	975	1098	1688	259.357791793436
16156	14	18.2542292617118	21	10	10	2.35917040212891	26.9545786167747
16163	0	0	1	0	0	2	0
16168	301	64	34	90	66	153	56
16176	274	79	213	360	197	242	724
16187	0	0	0	0	0	0	0
16189	0	0	0	3	0	2	6
16191	2	5	0	1	5	3	1
16196	27	10	1	4	8	9	5
16419	8607	878	2071	2803	2631	2342	1064
16447	0	0	0	0	8	0	0
16467	2028	297	1728	1037	1587	142	112
16470	1	4	3	0	2	0	5
16492	0	1	11	1	32	0	2
16500	1433	1489	1164	1269	1826	2209	1163
16508	1178.66781996972	28	282.548494317365	155	319.387754220371	27	42.5313420625892
16513	765	355	894	1121	1319	458	198
16525	1608	2313	2403	203	695	2477	1377
16541	201	23.2326554239969	18	106	100	284.280033456534	71.429633334453
16543	1617.15591108769	984	1410.58011066093	1125	1073.14285418045	1508	677.165681467106
16545	0	14	0	0	0	1	0
16576	216	767	216	315	416	279	545
16580	754.968534623013	884	596	898	1179.85593911996	907.841374874855	1186
16588	720	1009	690	701	642	764	793
16597	2683	2422	3907	2248	3709	2236	2893
16600	276	110	108	236	170	1459	159
16617	0	0	0	0	0	0	0
16628	0	0	0	1	1.50300119633116	0	0
16631	0	0	0	0	0.751500598165578	0	0
16638	24.7167047652194	0	0	0.647343589412502	4.50900358899347	5.20279457707554	0
16642	3	0	0	2	12	4	0
16660	0	0	0	0	14	0	0
16663	0	0	0	0	0	0	0
16665	0	0	0	0	26	0	0
16668	0	0	0	1	0	10	0
16691	0	4	0	0	1	1	0
16701	0	0	0	0	0	0	0
16769	0	0	0	0	14	0	0
16770	4	0	2	7	3	2	9
16779	2126	2595	650	1247	1302	3801	2815
16816	9	197	96	63	253	68	109
16832	3092	4408	2235	2031	2320	3136	2895
16841	2	0	0	0	0	0	0
16846	0	3	0	0	27.8055221321264	414	0.83394788358018
16847	199	126	107	412	404	325	52
16854	6803	1041	914.678671654939	2414	953	2047	731.372293899818
16869	904	3284	1799	2418	3085	380	780
16873	0	17	6	0	1	2	0
16881	3499	2830	3223	2846	5057	3121	4444
16911	1989	2508	1858	1890	2659	4162	3043
16949	5497	8846	1108	2942	4709	6114	6900.91873662599
16950	5329.88559996345	838	1236.87044961377	1679	810.869145420659	956	677.165681467106
16952	6797	641	2366	2467	1002	3260	1208
16975	721	1091	2152	1012	2696	4657	1647
17035	1178	986	476	342	396	1067	451
17071	0	0	0	0	0	0	2
17113	8229.2309714197	7655	4851.61713074026	5447	4334.65545021905	7290	6671.58306864144
17125	3918	3209	2856	2446	2859	3264	2809
17138	0	0	0	0	0	0	0
17153	1	71	30	1	27	118	5
17156	7735	8852	6090	4887	7006	12187	6004
17161	1694	2779	1707.22760804662	1549	2060.4536568468	2681	1930
17168	694	828	587	769	783	840	985
17171	4	15	3	3	1	104	10
17173	31	6	10	12	3	44	10
17184	29690	36076	34212	22829	33261	32056	32021
17188	6773	7738.13373157839	6040	6733	8956	6084.30046709047	9333.02284605825
17189	2	126	0	0	0	2678	138
17195	0	0	0	0	0	0	0
17203	25	11	14	0	20	37	7
17225	1	0	0	0	5	12	0.83394788358018
17228	3	0	0	0	2	162	0.83394788358018
17231	63	0	90.8191588877244	3	0	3	0
17252	1460.39456991229	2042	944	1026	1230	1376	1808.71349391295
17268	4024	13915	6411	6512	7075	7715	12722
17313	1581	1337	504	2880	640	1232	1917
17349	249	585	184	182	168	831	255
17387	10728	7093	4178.40209581062	7119	7888	10315	9697.97993815392
17388	791	477	324	1251	1553	3837	594
17389	1368	3023	3267	3149	3159	1264	3394
17391	7026	7493	6796	1308	3156	1883	577
17392	3299	31	431	444	92	1035	152
17394	81	12	19	53	7	9	32
17427	393	1290	331	280	294	532	428
17448	6295	10809.0825344642	5792	5516	6336	7385	9059
