tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
13615	1	0	5	0	4	14.0473160214839	0
13627	231339	305540	197326	168888	213273	249116	284580
13629	132211	179663	110312	88951	118151	85134	126864
13641	1556	1056	733	1284	825	2471	2182
13646	2	26.2217493976151	0	0	0	0	0
13656	59	104	65	6	8	20	26
13706	0	3	0	0	0	0	0
13713	3681	1063	1082	1854	1647	2886.5775795208	1445
13716	936	1081	841	863	906	1019	1015
13722	2607	5183	2350	2192	2389	4116	3581
13723	3779.20963193128	1135.18323433842	1018.27793494072	1042	797.578210844126	1311.08746988075	136.571611445912
13726	1984	2559	2258.3481668696	2400	2402.56778855648	2311.89248416738	2869
13731	768.078742771809	178.089381325469	123	255	248	563.767612048725	137
13732	1509	140.941903012181	244	409	229	642.43286024157	530.990425301706
13836	235	521	113	492	1119	1272	1016
13837	2410	6012	3968	1459	962	1303	9154
13869	3784	1299	2622	758	1639	680	783
13877	1674.58793624532	3123	1418	2025	2117	2750	2327.66387847294
14011	4129	3118	3241	3076	3305	3220	3215
14029	0	0	0	0	0	0	0
14030	10240	15605	11277	11186	12631	13529	15433
14038	0	0	0	0	1	0	0
14066	840	64	161	331	171	311	71
14071	12	1	0	8	4.37029156626918	6	0
14073	45	38	3	18	28	18	2
14081	3290	2365	1383	1263	1710	5511	2371
14082	418	286	310	361	424	2511	352
14125	0	0	0	0	1	14	0
14132	4707	471.991489157072	740	981	853	2764.20941566526	592.174507229474
14178	371	64	72	86	34	317	130
14194	3098	4875	3120	2931	3008	4994	4790
14204	1	1.0925728915673	1	3	0	3.27771867470189	3.27771867470189
14226	351.182900537097	341.906787893607	302	107	138	220	136
14262	2	0	0	0	0	0	0
14300	1780	2200	1462	1570	1465	2207	1843
14343	1	15.2960204819421	6	3	5	12.0183018072403	14.2034475903748
14344	13	19.6663120482113	9	18	31	8.74058313253837	36.0549054217208
14365	13219	22577	33466	13313	21031	13328	20991
14373	113	222	90	69	85	341	200
14395	831	152	151	12	20	10	7
14419	5.46286445783648	14.2034475903748	6	2	1	36	15.247987110178
14423	6714	5227	5385	3809	4841	7712	6381
14456	15834	285	1603	3692	1842	12315	2198
14464	0	0	4	0	1	1	0
14526	6	2	0	6	0	10	0
14531	0	0	0	0	0	0	0
14534	3254	4530	3221	2853	3485	3331	4348
14548	333.438922404697	577	449.514112687485	408	401.457505245566	473	549.323989682239
14555	109	226	101	242	261	1372	89
14566	48	156	39	62	56	26	52
14569	21031	34628	14175	16498	22271	22406	17007
14582	5	0	0	7	2	0	3
14587	4	0	0	4	1	20	0
14599	6	0	1	0	0	0	2
14645	16547	9793	8629	7823	10140	15629	9912
14652	1.47866484436673	0	5	2	1.47866484436673	2.50023739364437	0
14670	2033.90349342643	3064	2128	2183	2463.45563071496	3676.70013551786	3275
14677	1059	686	1130	517	919	1616	1191
14687	588	655	762	395	556	281	535
14695	25.1373023542343	29	14.0473160214839	30	17.7439781324007	33	14.7866484436673
14699	0	0	0	0	0	0	0
14711	27.3552996207844	8	6	2	6.65399179965026	8.13265664401699	3
14714	20	14	8.87198906620035	11	6	9	14.0473160214839
14738	1	0	0	0	0	0	0
14747	1820	528	615	903	789	1504	433
14782	4696	6029	2802	3533	3881	6221	5727
14823	3	4	2	12	9	3	2
14827	12956	12244	10387	8684	9372	14500	9717
14873	1368.99383313382	219.607151205026	270	540	312	550.656737349917	425.010854819678
14897	24663	32674	22840	29774	25068	35166	28582
14924	5215	3796	4318	4683	7059	4481	4912
14938	993.148758434672	25.1291765060478	0	54	21.8514578313459	227.255161445998	7.64801024097107
14941	624	5	409	82	2	0	0
14945	37.1474783132881	16.3885933735094	0	14	13.1108746988075	50.2583530120956	4.37029156626918
14962	3789	464	188	2683	1928	7419	450
14985	0.739332422183363	0	0	0	1.47866484436673	0.739332422183363	0
14991	892.374233575319	172	145	299	245.458364164876	503.48537950687	107
14998	1486.79750101074	117	242	338	598.11992954634	1051.33070434474	144
15000	120.511184815888	22	10	56	65.0612531521359	176.700448901824	22
15024	404.414834934299	177	91	170.441371084498	254.330353231077	236.670327554102	122.729182082438
15108	1130	2077	906.835500000855	1295	1147.20153614566	1513.41346820934	1633
15112	2	2	1	1	1	1	2
15130	0	0	0	0	0	0	0
15163	3502.78869036475	386.770803614823	537	975	806	1610.45244217019	453
15200	561	331	599	329	297	253	225
15205	893.724625302048	857.669719880327	789	1253	1062	1515.39860060384	1850
15206	2	3	1	1	4	10.3506539105671	55
15212	8078.48396024858	2433.15982952037	4103.70378072676	3805	4736.30348494423	4333.14408795589	1533.97233976048
15223	19	34	13	31	91	29	9
15234	824	79	193	251	225	209	44
15248	703	79	92	252	190	479	200
15331	4027	8000	2708	2955	3834	8611.74405359181	5722
15364	57	1	19	32	41	85	6
15368	14818	4178	2219	5299	1197	3325	2462
