tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
102632057	2	2	2	2	2	2	2
102632070	2	2	2	2	2	2	2
102632077	2	2	3	2	2	2	3
102632095	2	2	2	2	2	2	2
102632116	2	2	2	2	2	2	2
102632134	2	2	2	2	2	2	2
102632137	3	2	2	2	2	2	2
102632139	2	2	2	2	2	2	2
102632142	2	1	2	2	2	1	1
102632146	3	2	2	2	2	2	3
102632148	3	2	2	2	2	2	3
102632161	2	2	2	2	2	2	2
102632167	2	2	2	2	2	2	2
102632168	2	2	2	2	2	2	3
102632174	2	2	2	2	2	2	2
102632211	2	2	2	2	2	2	2
102632229	3	2	3	2	3	2	3
102632253	1	1	2	2	2	1	1
102632256	2	2	1	2	1	3	2
102632273	2	2	2	2	2	2	2
102632274	2	2	2	2	2	2	2
102632308	4	3	3	5	4	4	3
102632313	3	2	2	2	3	3	2
102632325	1	2	1	2	1	2	1
102632375	2	2	2	2	2	2	2
102632381	2	2	2	2	2	2	2
102632385	2	2	2	2	2	2	2
102632420	2	2	2	2	2	2	2
102632451	2	2	2	2	2	2	2
102632454	2	2	2	2	2	2	2
102632455	2	2	2	2	2	2	2
102632502	2	1	2	2	2	1	1
102632522	2	2	1	2	1	2	1
102632531	3	2	3	2	3	2	3
102632541	3	2	2	2	3	3	2
102632548	2	2	2	2	2	2	2
102632566	2	2	2	2	2	2	2
102632654	3	2	2	2	3	3	2
102632704	2	2	1	2	1	2	2
102632721	2	1	2	2	2	1	1
102632723	2	2	2	2	2	2	2
102632727	2	2	2	2	2	2	2
102632745	1	1	1	1	1	2	1
102632767	2	2	2	2	2	2	2
102632769	2	2	2	2	2	2	2
102632773	1	2	2	2	2	1	2
102632776	2	2	2	2	2	2	2
102632804	3	2	3	2	3	2	3
102632809	2	2	2	2	2	2	2
102632814	1	2	2	2	2	1	2
102632815	2	2	2	2	2	2	2
102632835	2	3	2	2	2	2	2
102632893	2	2	2	2	2	2	2
102632924	2	2	2	2	2	2	2
102632973	2	2	1	2	1	2	2
102632985	2	2	2	2	2	2	2
102633001	2	2	2	2	2	2	2
102633007	2	2	2	2	2	1	2
102633008	2	2	2	2	2	2	2
102633010	2	2	2	2	2	2	2
102633040	2	2	2	2	2	2	2
102633049	2	2	2	2	2	2	2
102633065	2	2	2	2	2	2	2
102633078	2	2	2	2	2	2	2
102633093	2	2	3	2	2	2	3
102633104	2	2	2	2	2	2	2
102633132	2	2	2	2	2	2	2
102633145	2	2	2	2	2	2	2
102633163	2	2	2	2	2	2	2
102633169	3	2	2	2	2	2	4
102633197	2	2	2	2	2	2	2
102633200	2	2	2	2	2	2	2
102633225	2	2	2	2	2	2	2
102633226	2	2	3	2	2	2	3
102633244	2	2	2	2	2	2	2
102633249	2	2	2	2	2	2	2
102633258	1	1	1	2	2	1	1
102633264	2	2	3	2	2	2	3
102633311	3	3	3	2	3	3	3
102633315	2	2	2	2	2	2	2
102633342	2	2	2	2	2	2	2
102633360	2	2	2	2	2	2	2
102633391	3	2	3	2	3	2	3
102633392	2	2	3	2	2	2	3
102633396	2	2	2	2	2	2	2
102633398	2	2	2	2	2	2	3
102633403	2	2	2	2	2	2	2
102633411	2	2	2	2	2	2	2
102633424	2	2	2	2	2	2	2
102633429	1	2	2	2	2	1	2
102633440	7	10	7	3.33182112767336	7	3	10
102633478	2	2	2	2	2	2	2
102633492	2	2	2	2	2	2	2
102633518	2	2	2	2	2	2	3
102633544	2	2	2	2	2	2	2
102633550	2	2	2	2	2	2	2
102633562	2	2	2	2	2	2	2
102633638	2	2	2	2	2	2	2
102633659	1	1	2	2	2	1	2
102633681	2	2	1	2	1	3	2
102633737	2	2	2	2	2	2	2
102633741	1	2	2	2	2	1	2
102633753	2	2	2	2	2	1	2
102633762	3	2	2	2	2	2	3
102633776	2	2	2	2	2	2	2
102633792	2	2	2	2	2	2	2
102633813	3	2	3	2	3	2	3
102633829	3	2	2	2	3	3	2
102633851	3	2	3	2	3	2	3
102633856	1	1	2	2	2	1	2
102633867	2	2	2	2	2	1	2
102633933	4.8	3	7	8	7	2	6
102633939	1	2	2	2	2	1	2
102633966	2	1	2	2	2	1	1
102634000	2	2	2	2	2	2	2
102634001	2	2	2	2	2	2	2
102634039	2	2	3	2	2	2	3
102634054	1	1	2	2	2	1	1
102634079	2	2	2	2	2	2	2
102634085	2	2	2	2	2	2	2
102634099	2	2	2	2	2	3	2
102634101	2	2	2	2	2	1	2
102634134	2	2	2	2	2	2	2
102634161	2	2	2	2	2	2	2
102634208	2	2	2	2	2	1	2
102634211	2	2	2	2	2	2	2
102634251	2	2	2	2	2	2	2
102634252	2	1	2	2	2	1	1
102634274	2	2	2	2	2	2	2
102634280	2	2	2	2	2	2	2
102634284	2	2	2	2	2	2	2
102634303	1	1	1	2	1	1	1
102634339	2	2	2	2	2	2	2
102634384	2	2	3	2	2	2	3
102634405	2	2	2	2	2	3	2
102634410	2	2	2	2	2	2	2
102634417	2	2	2	2	2	2	2
102634482	2	2	2	2	2	1	2
102634503	3	3	3	2	3	3	3
102634521	2	1	2	2	2	1	1
102634523	3	2	2	2	2	2	2
102634531	1	1	1	2	1	1	1
