"","B_Cell.Control","B_Cell.SLE","T_Cell.Control","T_Cell.SLE","Monocyte.Control","Monocyte.SLE","P_Cell","P_SLE","P_Cell:SLE"
"641455",0.976466364316884,2.0263532121563,0.986268512394505,0.983643560561642,1.02378917670513,1.01768671037063,2.61892511955806e-10,1.68375370847365e-09,1.06086565484037e-10
"101929313",0.976466364316884,2.0263532121563,0.986268512394505,0.983643560561642,1.02378917670513,1.01768671037063,2.61892511955806e-10,1.68375370847365e-09,1.06086565484037e-10
"100151683",0.976466364316884,1.01317660607815,0.986268512394505,0.983643560561642,2.04757835341026,1.01768671037063,7.67478675098787e-11,4.29204372822049e-09,1.40358031447197e-10
"29775",0.976466364316884,1.01317660607815,0.986268512394505,0.983643560561642,1.02378917670513,2.03537342074126,7.67478675098785e-11,1.68375370847366e-09,3.05789204581953e-10
"101927375",0.976466364316884,1.01317660607815,0.986268512394505,0.983643560561642,1.02378917670513,2.03537342074126,7.67478675098785e-11,1.68375370847366e-09,3.05789204581953e-10
"101929047",1.95293272863377,1.01317660607815,0.986268512394505,0.983643560561642,1.02378917670513,1.01768671037063,2.61892511955812e-10,4.29204372822053e-09,4.27687058685922e-10
"102723675",1.8877731677146,1.01787273609445,0.972439755862764,0.998382320867391,1.01543514463494,2.41714113285413,1.5184326350023e-05,0.0848073403671717,1.41539445162809e-07
"55074",150.5656523255,57.0629352096968,85.9949681667729,76.0202498551848,175.517193847619,63.4390308700732,0.000278732826184267,2.3360589998278e-10,4.55184806146759e-07
"26512",1134.87750124684,1070.24756823967,3603.77454465206,687.046040132955,583.391671515759,309.04966343446,2.11664007093141e-09,2.48907750044065e-08,7.00037689927689e-07
"10138",153.374105348133,234.224322935998,505.046882153096,211.695142788286,85.253959632132,107.202209574137,1.1535048182734e-09,0.19841622520312,7.20062601550856e-07
"440955",0.965503002262734,1.01475357308973,0.981458017007684,0.988517429637572,2.67609418841823,1.03027342463929,4.414700664757e-07,1.79689576215222e-05,8.0627391693392e-07
"286135",1.16190386618586,1.02100375070168,6.36739705135951,1.00864056628155,1.00903015201262,1.08228287458162,2.36712780705554e-06,7.77965404013472e-06,1.38341967431591e-06
"641700",0.965503002262734,1.01475357308973,2.57214765185022,0.988517429637572,1.02112104396552,1.03027342463929,4.43994907875784e-06,4.37564236350601e-05,2.1345682779704e-06
"23162",140.52036123345,525.528889562867,226.438900373209,153.12346919001,113.25634275693,104.232849973494,3.04514547587659e-06,0.00434401629474225,3.41004894325016e-06
