"","Mean","SD","Range","pANOVA","Mean_WT_00Hr","Mean_WT_02Hr","Mean_WT_04Hr","Mean_WT_06Hr","Mean_WT_08Hr","Mean_WT_10Hr","Mean_WT_12Hr","Mean_WT_14Hr","Mean_WT_16Hr","Mean_WT_18Hr","Mean_WT_20Hr","Mean_WT_22Hr"
"11298_Aanat",-0.211876532544825,1,3.94916847968185,0.108840122860072,7.03141248929266e-16,-0.668603101566653,0.631330494501723,-1.24398354572807,0.048791735076178,0.684400762839217,0.101121488041532,-1.49855627477645,0.0470638658744869,-0.69197047553231,-0.311263294760846,0.35914995549329
"11304_Abca4",0.418545554515705,1,3.96444936122511,0.420626795695435,-1.0991207943789e-14,-0.00463678287872222,0.571317890402102,0.182449126304487,0.417269059229219,1.44535146302303,0.926280179699759,-0.748219437191088,-0.136950694308031,0.772521147456885,0.891918306581335,0.705246395869498
"11308_Abi1",-0.712889075398695,1,4.01084150798931,0.204055934013382,5.99520433297585e-15,-0.470558812326872,-1.03986233996472,-0.599993568380628,-1.14796457302883,-0.759660304867559,0.636507518773959,-0.105746494329049,-1.7141925528737,-0.848262256180403,-1.39387752209355,-1.111057999513
"11350_Abl1",0.771148817791465,1,4.62169564453023,0.691010291697068,-7.32747196252603e-15,0.543335490542867,-0.0512474228066598,0.632937902745686,0.840022614401516,0.66589418565123,0.93196178015999,1.61058724380407,1.37231895883665,0.45840658545133,1.40672564050087,0.842842834210049
"11354_Scgb1b27",0.172214411210508,1,4.76113169185289,0.273406544970506,-1.21985754830689e-14,-0.583149149584004,1.05782950649029,0.324534705163635,-0.0239165243523468,0.491405580086643,-0.177221990246346,0.444934520240308,-0.264661674951344,-0.300727139920009,1.53703166640628,-0.439486564807009
"11363_Acadl",0.499201297294234,1,4.13446702725535,0.440790253476768,4.36225130092301e-15,-0.379542544763754,-0.401048448089173,0.359814504367345,1.0099976918491,1.11317612288657,0.656218564267047,1.07279992005161,0.67982983158724,1.38118116178877,0.245594608823511,0.252394154762525
"11364_Acadm",0.127311305504275,1,4.10345954073083,0.492092770257649,2.34997206878991e-15,-1.2404758387845,0.174828214545557,0.293342514866001,0.826460650578983,0.44619456776273,0.906516668013986,0.346516977426992,-0.203868142438637,0.184050353808899,0.23388914897677,-0.439719448705483
"11370_Acadvl",0.0704442701802549,1,5.02170435955635,0.334599033951861,-3.33066907387547e-16,0.169279312387784,0.274035757016261,1.13335819890252,-0.28685510498604,0.923135096461646,-0.693097046189346,-0.105253593857216,-0.602509354580109,-0.758081552518198,0.668346116729678,0.122973412796077
"11409_Acads",-0.268699482622405,1,4.17111920972308,0.936049990715414,4.62592926927149e-15,-0.015184344089684,-0.161195387918999,-0.496189504546659,-0.912166789652664,0.233580798651189,-0.435401848902847,0.369100231663567,-0.0484021917560853,-0.689848550856085,-0.227497005158288,-0.841189198902303
"11416_Slc33a1",-0.852039628863556,1,4.4507792035034,0.658617854784502,-6.5873232794426e-15,-1.52943049516615,-0.332828708991554,-1.11080531913852,-0.869441522395078,-0.943201290956281,-1.11808332286752,-1.37568266639104,0.116378078858896,-0.6858818706531,-1.1867344926574,-1.18876393600491
"11419_Asic1",0.113598362721904,1,4.06931844959002,0.856946204944359,-6.66133814775094e-15,-0.728976883710507,0.293308070229167,-0.144126209064744,0.294431548473554,-0.0523219868097,0.59399899749285,-0.562541606650228,0.04590211112751,0.876794521292475,0.474749806696522,0.271961983585951
"11425_Apoc4",-0.600634900236064,1,5.16169538043586,0.108383600097821,4.65368484488711e-15,-0.463687379854466,-0.327689684645752,-1.76408438927873,-0.432084105920251,-0.756665271818378,-1.92676353707125,-1.21724413292522,-0.23780168419351,-0.190137730063224,0.313442307052464,-0.204903194114451
"11431_Acp1",-0.148017558408842,1,4.16944047150791,0.523144469471269,6.36527867451756e-15,-0.692541392848313,0.0163885130779037,-1.30187306723414,-0.0698623727598847,-0.607219752597428,0.650049526465948,-0.0731569707497657,-0.468170822049932,-0.243969204994621,0.486671256916227,0.527473585867891
"11432_Acp2",-0.0568924440010147,1,3.90456538091165,0.00826883886518238,2.2065682614425e-15,0.732478472176208,1.24873842946143,-0.448313455798239,-0.302365383013995,-0.279010930250946,-0.868302447210954,-1.10345762675612,-0.554846575298642,-0.149284423178966,-0.392423834358395,1.43407844621644
"11435_Chrna1",-0.121358882112071,1,4.4095082581817,0.0908836460436196,-1.13057711340995e-14,-0.656158605251532,-0.339745724555383,0.686012224865742,-0.853733674734422,0.106905235171393,0.0843264946310007,-0.790034123818946,0.76594717664116,1.15342320536413,-0.754901780974215,-0.858347012683771
"11438_Chrna4",-0.33107434420917,1,4.89728614172146,0.0511508553658813,-1.68383825401482e-15,1.17448717682275,-0.852770436345254,-0.341140270399533,-0.656786466055249,-0.561262541977233,-1.0033830328944,-1.05745902560035,-1.06342996257637,-0.401248071542799,-0.0949262770034933,0.88502677706189
"11440_Chrna6",-1.09177106931953,1,3.78011424785097,0.785516377015724,-1.11531154682136e-14,-1.51124072627416,-0.809061617312865,-1.11507907995727,-1.71753099493362,-1.04627306591385,-1.47814739732848,-0.769707388296399,-1.27396539093776,-0.660333297263577,-1.07981360200743,-1.64010027160898
"11441_Chrna7",0.142652447386106,1,5.09118176693781,0.706096998934007,6.35602681597902e-15,-0.092730895326835,0.13817329426191,0.327824306067424,0.140161399215312,0.0691576508792913,0.378520982379349,-0.67268951173547,0.468482731521081,1.39351956484279,-0.48012734624817,0.0415371927765837
"11443_Chrnb1",-0.668349245917935,1,3.74187091260296,0.453747640293925,-1.06951484705557e-14,-0.742601494824119,-0.77457249328913,-1.389237323745,-0.430423392843652,-0.967557235259166,-1.1303617760423,-1.30248899677322,-1.19224962315332,-0.576900076091119,0.39460744728151,0.0915940137243008
"11444_Chrnb2",1.21710099180364,1,4.29216013612172,0.0955417595603577,1.25316423904565e-14,0.682046363425191,0.88793714878265,0.822502759702301,1.01743626721236,1.03758352002845,1.57568306399147,2.70741964487748,0.88502109903296,1.35958610451019,2.03416561327319,1.59583031680743
"11448_Chrne",-0.385904509918065,1,3.96902892276217,0.937370552296782,-6.10622663543836e-16,0.020290466967785,-0.438416475746103,-0.370995169716298,-0.364587653831732,-0.53723460961028,-0.784635917375414,-0.359960003470653,-0.983980856006319,-0.44639027329134,-0.854050672791527,0.4891070458551
"11451_Acrv1",-0.7131921815869,1,5.0611301434758,0.180056298178444,1.36464913443509e-16,-0.961777119166076,-1.2441621100046,0.15556765438453,-1.51593159883801,-1.53634116519309,-0.051497822227206,-0.385949322900355,-0.509038596150182,-0.404336888873513,-0.347468128131808,-1.7573710819425
"11459_Acta1",0.170999813687336,0.999999999999999,6.09445172830768,0.503415921277389,-1.66605733838606e-17,-0.044032168230512,0.0263993661418676,-0.0224313923744097,1.97818206086107,-0.0095449703903804,0.037757453732211,0.00576685182710669,0.000194601584289007,0.0642944648971125,0.00113438484500303,0.0142771113546814
"11461_Actb",-0.486591042582508,0.999999999999999,3.65585530596238,0.981493840446567,-4.84334794492725e-15,-0.127778116501197,-0.123529820058521,-0.625210699230555,-0.434666834108518,-0.799298670878414,-0.934567274101844,-0.331235433240368,-0.111598770532593,-1.02846437049233,-0.528058243631676,-0.794684278214083
"11464_Actc1",0.210471006100869,1,6.2204627027049,0.607865476307003,8.78926561161582e-17,0.269435502498747,-0.313413288786439,-0.239717968806097,1.77719699083944,0.152256821046951,0.193840550329645,0.479956384787216,0.284320291703816,-0.0105911000112955,-0.073825431774087,0.00619332138252988
"11468_Actg2",0.218933461138364,1,4.69079338419678,0.485050878572672,-1.86193653088177e-15,1.45374895082372,-0.0880908608207972,0.294062438094905,1.32406018294262,0.024015698504555,0.133704704153491,-0.130987453740333,-0.213503955257658,0.210906583539192,-0.344871024864536,-0.0358437297147915
"11470_Actl7a",0.868145026086039,0.999999999999999,3.87890755983248,0.392716838478124,8.07224657487874e-15,1.12186341398659,0.993871615632218,1.68342517905899,1.18423916381753,1.03257518334839,0.0813675005009596,1.70601726160958,1.3744266954088,0.382805287201949,0.184967050364455,0.672181962103012
"11471_Actl7b",0.646110648653951,1,3.77773259084487,0.669693140141714,-8.00285763583967e-15,0.649399665253968,1.21734183568291,0.276972869276988,0.805881512303117,0.465881232409097,1.01122046937539,0.121360365822554,1.66235882181879,0.831353279628334,-0.116665910411088,0.828223642687353
"11472_Actn2",0.0727338573166442,0.999999999999999,6.43237850321652,0.534732377587763,1.36464913443509e-16,-0.313942000300654,-0.125101530481455,0.0485567147647553,1.7949085986912,0.183902946349376,0.042114170772042,-0.154753075169227,-0.104876166963346,-0.245555980050133,-0.252869851713991,0.000422461901164332
"11474_Actn3",0.112729368662183,1,6.4309287834027,0.260804294210514,-2.28983498828939e-16,-0.242909103990418,-0.0945311291390824,-0.265016225646746,1.85433579175517,0.305491104673627,-0.194327283192364,-0.0598298285690867,0.540412926549987,-0.135305157308961,0.330589717758381,-0.686158388944306
"11475_Acta2",0.215064207005346,1,4.93364329681115,0.451332941497438,-1.85962356624714e-15,1.61719913190261,-0.0980030755248811,0.28857602555555,0.993248500585124,0.075106014087316,0.577060736808264,-0.184911463254491,-0.400025132173881,-0.166534459807595,-0.193814607781559,0.0728688136676916
"11480_Acvr2a",-0.0740619963235152,1,5.04047376536638,0.680611156740439,5.99520433297585e-15,-0.074089467390402,0.287539657091337,-0.669524842135286,0.497610905565344,0.566261101712408,-0.493655071933824,-0.658234233645316,-0.485496165068808,0.00173067721379199,-0.648344649566503,0.78745813227507
"11484_Aspa",1.14996989438701,1,3.94674040554418,0.397231027025353,-9.25185853854297e-18,1.38433667406361,0.975033888730278,0.944827041104204,1.61239837364049,1.36391109138313,1.31608358264184,0.798395751183515,0.986109732859835,0.896352242770932,0.977263441769352,2.54492691249693
"11486_Ada",0.0104782182884827,1,6.4085621522086,0.520133913280006,4.03381032280474e-15,-0.298824245036407,0.0807478194365913,-0.158916548425858,1.29021387673098,-0.151752408294461,0.0730423887174717,-0.141658930864882,0.730551249665992,-1.05370173052636,-0.050117140296993,-0.193845711644292
